4118507
/m/0bk32q
/m/0bk32q
Piers Anthony
1993-02
3d 1
a 18
accompanies 1
adventure 2
after 4
again 2
along 1
also 1
and 12
another 1
as 1
at 4
attempt 1
back 1
battle 1
be 2
beauty 1
because 1
becoming 1
begins 1
being 5
believe 1
believes 1
bet 1
black 3
both 1
boy 1
brief 1
bubblemdashsammy 1
bubbles 1
bubblesmdasha 1
but 5
by 4
captured 1
castle 1
cat 1
catch 1
cause 1
censorship 2
challenges 1
chance 2
changed 1
character 1
chasm 2
com 1
comes 1
companion 5
companions 2
completing 1
computer 1
consists 1
controlled 1
convince 1
cross 1
crush 1
cyrus 3
daughter 1
decide 1
defeated 1
defeating 2
destroy 1
develops 1
different 1
does 1
dog 1
down 1
downfall 1
dragon 1
dug 13
elf 1
ends 2
escape 1
eventually 2
fails 1
false 2
feeling 1
fights 1
finally 1
find 1
finding 1
first 5
for 2
found 1
friend 1
from 1
game 7
gap 3
giving 1
go 3
good 2
had 1
has 3
having 2
he 8
head 1
her 4
him 2
his 7
home 1
hopes 1
horrible 1
if 1
in 8
introduced 1
is 12
isthmus 1
jenny 3
joins 1
journey 2
kicked 1
kim 7
known 1
land 1
later 1
lead 1
learns 1
led 1
look 1
magic 4
magical 2
magician 1
meaning 1
meet 1
meeting 1
meets 1
mela 1
members 1
merci 1
merman 1
merwoman 2
met 1
might 1
mind 1
mundane 3
nada 7
naga 2
new 1
not 1
ocean 1
of 14
ogres 1
on 6
once 1
one 1
only 1
order 1
out 2
own 1
panties 1
part 2
parties 1
partner 2
pewter 1
picks 2
play 1
player 3
playing 1
plays 1
point 2
prize 1
real 2
realizing 1
refuses 1
remember 1
return 1
routes 1
second 1
sets 1
she 4
sherlock 2
ship 1
sixteen 1
split 1
starting 1
stubbornly 1
switch 1
talent 1
teams 1
temporarily 1
that 7
the 40
their 2
them 2
then 1
there 2
this 1
through 2
time 2
to 22
toward 1
town 1
transported 1
traveled 1
travels 1
trying 3
twice 1
two 1
ultimate 2
under 1
up 4
usually 1
village 2
was 3
water 1
wave 2
way 3
well 1
when 2
where 5
which 1
while 1
who 3
wife 3
will 2
win 1
wing 1
winning 1
with 4
world 3
xanth 5
you 1
your 2
