28881885
/m/0dd9t93
/m/0dd9t93
Greg Egan

2012 1
2027 1
a 14
ability 1
about 1
abridged 1
accident 1
achieve 1
across 1
activist 1
add 1
afront 1
after 1
aimed 1
also 1
an 6
and 14
aperture 1
are 3
as 2
ashkan 1
asks 1
at 2
attempting 1
australian 1
authorities 1
available 2
avatar 1
azimi 6
banned 1
based 1
be 1
behaviour 1
behtar 1
boosting 1
booths 1
brain 8
breakthrough 1
but 6
by 5
can 1
cancer 1
candidates 1
captain 1
car 1
chl 2
cishumanist 1
clerics 1
closing 1
cloud 1
comes 2
communicate 1
company 1
compete 1
complete 1
computer 2
computergenerated 1
computing 1
concerned 1
conducts 1
congress 1
connectome 1
conscious 1
consciousnesses 1
contacts 1
continue 1
continues 1
contributions 1
control 1
correspondent 1
countries 1
country 1
cover 1
covering 1
create 2
created 1
creates 1
criticized 1
current 1
day 1
decides 1
democratized 1
denounce 1
destiny 1
deteriorating 1
developed 1
developing 1
develops 1
diagnose 1
dies 1
dignity 1
discovers 2
doing 1
donors 1
down 1
draft 1
edge 1
election 1
elections 3
enables 1
enslaved 1
enters 1
escalates 1
evaluate 1
execution 1
exile 1
fanatics 1
fans 1
far 1
father 2
finally 1
finch 2
fire 1
first 3
fleshout 1
following 1
football 2
for 3
forced 1
fragments 1
free 1
from 3
funding 1
further 1
games 3
gaming 2
give 1
goal 3
goals 1
god 1
golestani 1
group 1
grow 1
had 1
has 8
hcp 4
he 5
head 1
heads 1
health 1
help 1
helping 1
her 6
him 3
his 5
hold 1
huge 1
human 7
if 1
images 1
immortality 1
improve 1
in 13
into 2
iran 5
iranian 5
is 14
it 6
its 3
javeed 7
killed 1
knows 1
lacks 1
landscape 1
league 1
learns 1
lives 1
living 2
local 1
looks 1
loves 1
mahnoosh 2
make 2
making 1
many 1
map 2
married 1
martin 18
meanwhile 1
memories 1
mit 1
motor 1
moves 1
mri 2
multiplayer 1
mutilated 1
nasim 11
national 1
neural 1
neurologists 1
new 1
news 1
no 1
noble 1
not 3
object 1
of 10
off 1
often 1
on 5
one 1
online 1
operations 1
opposition 1
organ 1
other 1
out 1
overreacts 1
own 2
parliamentary 1
participate 1
pathologies 1
people 2
person 2
platform 1
play 1
police 1
political 1
popularity 1
post 1
produce 1
production 1
project 4
prompting 1
protests 1
providers 1
proxies 2
proxy 5
publically 1
published 1
raise 1
realism 1
reality 1
rebuild 1
record 1
releases 1
religious 1
remains 1
replays 1
returns 1
right 1
rights 1
roleplaying 1
run 1
saying 1
scanning 1
scans 5
scientist 1
second 1
secret 2
session 1
sets 1
several 2
seymour 1
sham 1
she 12
simulate 1
simulates 1
sixyearold 1
skills 1
software 2
some 1
something 1
son 2
song 1
squeeze 1
started 1
starts 1
state 1
statement 1
states 1
step 1
story 1
success 1
sure 1
takes 2
taking 2
team 1
tehran 2
terminal 1
that 11
the 24
their 1
then 1
they 1
think 1
this 2
thoughts 1
thousands 2
through 1
to 31
together 1
took 1
turn 1
turning 1
turns 1
under 1
unethical 1
united 1
unrest 1
up 2
upload 1
upsets 1
us 1
used 1
uses 1
using 3
vevak 1
virtual 9
vr 5
want 1
was 1
were 2
what 3
when 1
where 1
whereas 1
which 1
while 3
who 1
whole 1
will 1
with 6
without 1
works 1
you 1
zebra 1
zendegi 9
zendegis 1
zendegiye 1
