27342482
/m/0by09hl
/m/0by09hl
Robert Bryce
2010-04-27
about 1
addicted 1
amounts 1
an 1
and 3
are 1
argues 2
as 2
be 2
book 1
bryce 3
but 1
capture 1
carbon 1
claims 1
contemplate 1
continue 1
countries 1
developed 1
does 1
earlier 1
efficiency 2
energy 3
expensive 1
farms 1
fossil 2
fuels 2
green 1
gusher 1
he 1
his 1
however 1
idea 1
imported 1
improving 1
in 4
including 1
independence 1
it 1
large 1
lies 1
might 1
mistake 1
needs 1
not 2
nuclear 1
of 5
oil 1
on 1
power 1
prosperity 1
prove 1
puts 1
record 1
reduced 1
reliance 1
renewable 1
some 1
sources 1
states 2
storage 1
such 1
that 4
the 6
three 1
to 4
top 1
truly 1
united 2
use 2
was 1
ways 1
which 2
will 2
wind 1
work 1
