1282996
/m/02p43y5
/m/02p43y5
Sue Grafton
1982-04-15
a 12
about 3
accident 1
accountant 1
accounts 1
accuses 1
across 1
acting 1
affair 7
after 1
afterwards 1
ahead 1
allergy 1
alphabet 1
already 1
an 6
and 10
angeles 1
apparently 1
are 1
armed 1
arrives 1
as 5
assume 1
assumption 1
at 2
back 1
basement 2
be 1
beach 1
becomes 1
been 3
before 5
begins 1
being 2
belligerently 1
belongings 1
bitter 1
blamed 1
both 2
boxes 2
boyfriend 1
breakup 1
business 1
but 4
by 1
california 1
came 1
can 1
capsules 1
case 1
caught 1
character 1
charlie 3
charms 1
circumstances 1
colin 2
come 1
compromising 1
confesses 1
confirm 1
confrontation 1
contact 1
could 1
couple 1
course 1
courtesy 1
cover 1
crossed 1
dating 1
days 1
dead 2
death 5
despite 1
died 1
discovered 2
discovers 2
divorce 1
dolan 1
down 1
dramatic 1
during 1
eight 1
elizabeth 2
else 1
embezzling 1
ends 1
entirely 1
everyone 1
except 1
exonerated 1
experience 1
exsecretary 1
fact 1
facts 1
fast 1
few 1
fife 2
finally 1
find 1
finds 1
first 2
flipping 1
for 2
former 2
from 5
further 1
get 1
glass 2
glasses 1
goes 1
guilty 1
gwen 8
had 2
has 5
hasnt 1
hatred 1
have 2
having 5
he 7
hed 1
her 12
him 1
hired 1
hires 1
his 2
hit 1
hold 1
in 15
indeed 1
indicating 1
instead 1
interrupts 1
interview 1
interviews 1
into 2
introduces 1
investigation 1
involved 3
is 6
it 3
just 1
kill 2
killed 4
kinsey 16
knife 1
knowledge 1
las 1
laurence 13
lawyer 1
leads 1
learns 1
letter 2
libby 11
lieutenant 1
like 1
linked 1
list 1
looks 1
los 1
love 1
lyle 1
many 1
meddling 1
meets 1
method 1
millhone 1
minutes 1
money 1
mother 1
murder 2
murderer 1
murdering 1
murders 1
mutual 1
mysteries 1
mysterious 1
mystified 1
napier 2
never 1
nikki 5
not 1
nothing 1
notions 1
novel 2
of 18
off 1
oleander 1
on 5
only 3
out 2
over 1
overcome 1
parents 1
partner 1
person 1
photograph 1
pills 1
plant 1
plot 1
police 2
possessions 1
previous 2
previously 1
prison 1
prominent 1
pursues 1
question 1
quizzing 1
realises 2
recognises 1
reflecting 1
released 1
remains 1
reports 1
reservations 1
rumoured 1
run 1
same 3
scene 1
scorsoni 2
searching 1
seems 2
selfdefence 1
series 1
sharon 3
she 12
shoots 1
shortly 1
shot 1
significance 1
situation 1
sleeping 1
so 2
solve 1
solved 1
someone 4
something 1
somewhat 1
son 1
soon 1
substituted 1
sufficient 1
surmises 1
surrounding 1
suspects 2
temporarily 1
that 14
the 29
they 1
this 1
through 4
time 1
to 13
too 1
track 1
tracks 1
trial 1
true 1
truth 1
twist 1
two 1
under 1
up 1
used 2
vegas 1
very 1
was 8
way 1
were 5
what 1
when 2
which 2
while 1
who 3
whom 1
whose 2
wife 2
with 14
worked 1
would 2
wrong 1
years 2
yet 1
young 1
