17716888
/m/047txwz
/m/047txwz
Janny Wurts
1990-09-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 5
acoma 3
acquiring 1
after 2
against 1
all 1
allies 1
ally 1
ambitions 1
ambush 1
an 5
and 15
any 1
are 1
as 2
ascends 1
attack 1
barbarian 3
barely 1
battle 1
begins 1
beliefs 1
blood 1
bloodline 1
breaking 1
brother 1
but 2
by 3
campaign 1
capital 1
cause 1
challenging 1
chiefs 1
childmdashis 1
choja 1
commander 1
continues 1
contradictions 1
conventions 1
council 1
cousin 1
cruel 1
culture 1
danger 1
dashed 1
daughter 1
death 2
deaths 1
defeated 1
desert 2
desio 2
destroy 2
does 1
dustari 2
emperor 1
empire 2
empiremdashand 1
end 1
endgame 1
enemies 1
enlists 1
even 1
ever 1
exchange 1
exiled 1
extended 1
eyes 1
failure 1
faraway 1
father 1
favors 1
finds 1
flaws 1
for 3
forbidding 1
force 1
forced 1
freeing 1
from 2
genius 1
god 1
had 2
has 1
having 1
he 2
her 7
high 1
his 3
honor 1
hopes 1
however 1
ichindar 2
imperial 2
in 6
influence 1
innovative 1
into 2
is 5
jingu 1
kentosani 1
kevin 6
keyoke 1
kill 1
king 1
known 1
knows 1
lady 1
lands 1
laws 1
like 1
limitations 1
lord 4
losing 1
love 1
manage 1
managed 1
manages 1
manipulate 1
many 1
mara 9
maramdashpregnant 1
midkemia 1
midkemian 1
military 2
minwanabi 5
much 1
named 1
never 1
norms 1
not 1
oath 1
of 20
on 1
once 1
or 2
orchestrated 1
overcome 1
overnight 1
own 1
plot 1
potential 1
power 1
powerful 1
practice 1
prisoners 1
proclamation 1
product 1
question 1
red 1
relinquish 1
risen 1
secure 1
see 1
send 1
servant 1
served 1
she 4
slave 1
slavery 1
social 1
society 1
son 1
soon 1
standing 1
still 2
such 1
survives 1
swears 1
tactics 1
tasaio 4
thanks 1
that 1
the 25
their 1
then 1
this 1
though 1
threatened 1
through 1
thwart 1
to 11
toward 1
treaty 1
triumphs 1
tsurani 2
unavoidable 1
unbreakable 1
unprecedented 1
warriors 1
wealth 1
well 1
who 1
will 1
with 3
without 1
world 1
xacatecas 1
zn 1
