8788340
/m/027jsjj
/m/027jsjj
Jeanne DuPrau

157 1
2 1
34 2
a 14
accepts 1
across 1
aiming 1
air 1
an 2
and 8
appearance 1
are 1
artist 1
asking 1
asks 1
aspiring 1
at 2
barely 1
before 1
behavior 1
bel 1
bonnie 2
breaking 1
california 3
calls 1
car 4
carsickness 1
cash 1
center 1
characters 1
checks 1
chevrolet 1
come 2
company 1
con 1
could 1
country 1
days 2
deliver 1
despite 1
dog 1
down 1
drive 1
drop 1
duff 7
email 1
escort 1
everywhere 1
finds 2
for 4
ford 1
from 2
get 3
gets 1
had 1
has 1
he 6
head 1
heading 1
him 2
his 3
hitchhiker 1
home 1
hopgood 1
hundred 1
if 1
in 5
including 1
is 2
it 2
job 1
looking 2
lot 2
louis 2
makes 1
miles 1
mom 1
money 1
moony 1
motel 2
mother 1
named 1
need 1
new 1
note 1
of 2
off 1
only 1
parking 1
people 1
person 1
pick 1
pringle 1
prone 1
repair 1
reply 1
rosalie 1
saint 1
saying 1
sends 1
several 1
silicon 1
singer 1
someone 1
soon 1
st 1
stay 2
staying 1
stolen 1
story 1
stu 2
technology 1
terrier 1
the 7
there 1
they 3
thinking 1
this 2
thugs 1
to 14
too 1
towing 1
trunkfull 1
two 1
up 1
used 1
valley 1
waiting 1
wanted 1
was 3
weeks 1
when 1
while 1
with 2
woman 1
would 3
