18171684
/m/04csm5v
/m/04csm5v
Brent Hartinger
2003-03-04
{"/m/05hgj": "Novel"}
a 24
abandoning 1
about 2
accepts 1
activity 1
actually 1
adapted 1
after 2
again 2
against 1
agree 1
alcohol 1
alcoholism 1
all 2
alliance 2
allow 2
allowed 1
alone 1
already 1
also 2
an 5
and 20
angry 1
another 2
anyone 1
application 2
are 2
article 2
asks 1
attend 3
attitude 1
attractions 1
aware 1
awkward 1
awkwardness 1
back 2
baseball 3
be 3
beach 2
because 2
become 1
becomes 1
becoming 1
been 1
being 1
believe 1
belinda 2
best 1
bisexual 1
boring 1
boyfriend 1
breaks 1
brian 11
brief 1
bully 2
bund 5
but 2
by 2
cafeteria 1
call 1
calls 1
can 1
car 1
causes 3
causing 1
chance 1
changed 1
changing 1
characters 1
chat 1
chool 1
cinema 1
clear 1
closer 1
club 13
come 1
common 1
consisting 1
cruel 1
dancing 1
danger 1
date 4
decide 2
decides 5
delight 1
despite 1
discouraging 1
discussion 1
disney 1
distressed 1
double 2
down 1
drinks 1
drive 1
effort 1
end 1
ends 1
engage 1
especially 1
experiences 1
fact 1
fears 1
feel 1
feels 3
final 1
find 1
finds 1
first 1
for 3
formation 1
friend 1
friends 9
from 2
game 1
gay 9
geography 5
get 2
gets 2
getting 2
give 1
go 6
going 1
gossip 1
group 2
gunnar 10
gym 1
hartinger 1
has 3
have 3
he 17
hear 1
her 4
hero 1
high 1
him 9
himself 1
his 15
hold 1
home 1
homophobia 1
homophobically 1
homosexual 3
homosexuals 1
house 2
however 4
if 2
ike 1
impress 1
in 26
incident 1
increasingly 1
indication 1
infatuated 1
informs 2
internet 1
into 2
is 17
isolated 1
issue 1
it 6
jocks 3
join 2
joining 1
joins 1
kevin 13
kid 2
kimberley 4
kiss 1
knew 1
land 1
last 1
later 4
leave 1
leaves 1
lesbian 1
let 4
lively 1
local 1
long 1
lose 1
lot 1
loved 1
made 1
mainly 1
making 1
many 5
meaning 1
means 1
meanwhile 2
meet 3
meeting 3
meetings 1
members 2
methods 1
middlebrook 1
min 10
mind 1
mother 1
much 1
musicals 1
name 2
naming 1
never 1
new 1
night 1
nobody 1
not 4
novel 1
now 2
of 14
offend 2
on 6
once 1
one 2
only 1
organise 1
others 1
out 6
outcast 1
overheads 1
pair 1
panic 1
paper 1
particularly 1
people 3
period 1
person 1
persuades 1
persuasion 1
picks 1
pizza 1
play 2
pointing 1
popular 1
popularity 1
prank 1
previous 1
problems 1
publishes 1
puts 2
recently 1
respect 1
responds 1
rest 1
revenge 1
reverting 1
room 1
rules 1
russel 37
saying 3
school 11
second 1
sees 1
sex 1
sexual 2
sexuality 3
she 4
shop 1
should 1
side 1
so 2
speaks 1
special 1
split 1
spoke 1
start 1
state 1
stop 1
story 1
straight 2
student 1
study 1
such 1
suggested 1
sympathetic 1
talk 1
teacher 2
team 3
tell 1
telling 1
that 10
the 48
their 1
then 4
therefore 4
therese 1
they 10
think 2
thinks 1
third 1
this 9
though 1
thought 1
time 3
to 40
together 1
towards 2
tries 1
trish 6
trouble 1
trying 1
turning 1
turns 1
two 1
uch 1
under 2
unknown 1
up 6
upsetting 1
very 1
view 1
virgin 1
vote 2
votes 4
want 1
wants 5
was 2
wasnt 1
well 1
when 6
where 4
which 1
who 7
will 2
winning 1
with 22
witnesses 1
would 3
writes 1
