24233999
/m/07kjffg
/m/07kjffg
Nick Hornby
2009-09-29
a 16
about 3
acoustic 1
admits 2
affair 1
after 4
afterwards 1
again 1
album 3
all 2
also 1
america 2
an 5
and 31
angry 1
annie 18
are 1
arrival 1
article 1
artist 1
as 4
at 3
attack 1
avoid 1
away 1
baby 1
back 2
barnesy 2
barnsey 1
be 1
because 2
been 1
beforeduring 1
beliefs 1
believe 1
breaks 1
bump 1
but 7
by 1
call 1
called 1
calls 1
can 1
cant 1
career 1
cat 3
caused 1
cd 1
charge 1
children 2
clarifies 1
clarifying 1
close 1
colleague 1
comes 2
comment 1
considering 1
consumes 1
contraceptive 1
correspondence 1
could 1
councillor 1
criticising 1
crowe 3
curator 1
cured 1
dancers 2
daughter 2
day 4
deep 1
demos 1
describes 1
didnt 1
discovers 2
discuss 1
discusses 1
dislike 1
do 2
doesnt 3
duncan 16
during 1
email 2
encourages 1
end 1
ends 1
ensues 1
enthusiastic 1
epilogue 1
especially 1
events 1
exhibition 1
expresses 2
exwives 1
family 3
fan 3
fans 1
favorite 1
find 1
first 1
five 1
for 5
four 1
fridge 1
friend 1
from 6
further 1
gav 2
gina 1
girlfriend 1
giving 1
gleeful 1
gloomy 1
going 1
good 2
gooleness 1
grace 4
had 2
happiness 1
has 7
have 2
he 17
heard 1
hearing 1
heart 1
her 13
him 13
himself 2
his 11
hospital 2
house 3
how 1
husband 1
in 7
inauthentic 1
incident 1
insists 2
instead 1
into 3
introduces 1
invites 3
is 11
it 13
jackson 6
join 1
judgmental 1
julie 1
juliet 5
know 1
knows 1
leave 1
leaves 1
leaving 1
lets 1
like 1
likes 1
liking 1
listens 1
lives 1
lizzie 5
local 1
london 1
looking 1
lost 1
love 2
loves 1
make 1
malcolm 4
mean 2
meaningful 1
meet 1
meets 2
member 2
met 2
mininarrative 1
mother 1
move 2
much 1
museum 1
music 4
naked 1
never 2
new 4
next 4
northern 2
not 1
obsessive 1
of 12
on 6
one 2
ones 1
only 2
open 1
opens 2
other 1
out 1
over 1
own 1
party 1
passionate 1
passport 1
paternalistic 1
pennsylvania 1
person 1
photo 1
places 1
poison 1
ponders 1
pregnant 1
preparing 1
proof 1
pub 1
realize 1
receives 2
refuses 2
regrets 1
relationship 3
relationships 1
release 1
remains 1
response 1
return 1
reunion 2
reveals 1
review 2
right 1
romantically 1
ros 1
round 1
rubbish 1
says 5
see 1
sees 1
sell 1
sex 1
she 24
shows 1
significance 1
sleep 1
sleeps 1
solo 1
some 1
son 1
songs 1
soul 2
staying 1
suggests 2
take 1
taken 1
talks 2
tea 1
tells 6
terrible 1
that 11
the 26
their 1
them 1
then 1
therapist 1
they 7
think 1
thinks 1
though 1
thoughts 1
to 16
together 1
too 1
tucker 23
two 2
understands 1
up 3
used 1
visit 2
visiting 2
visits 2
was 1
wasted 1
website 3
when 1
where 1
which 4
while 5
whom 3
with 10
wont 1
work 1
working 1
works 1
would 2
writes 3
years 1
yet 1
youngest 1
