10392345
/m/02qbdsw
/m/02qbdsw
Sara Gruen

{"/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
5 1
a 34
abuses 1
accident 1
after 6
agrees 1
al 4
allowed 1
also 3
alternately 1
american 1
an 2
and 29
animals 5
arms 1
around 2
as 12
at 3
august 13
avoid 1
back 2
backs 1
be 3
beans 1
beats 1
because 1
been 2
before 2
begin 2
begs 1
believes 1
belonging 1
benzini 1
between 1
body 2
breakdown 1
bros 1
brothers 1
brutal 1
but 2
by 1
camel 4
can 1
cant 1
car 3
care 2
carrying 1
causing 1
charlie 2
charming 1
chicago 1
children 1
circus 15
climaxes 1
climbs 1
come 2
comforts 1
coming 1
consequently 1
cornell 1
couple 2
dark 1
days 1
debt 1
declare 1
deeply 1
devastating 1
develops 1
died 1
discovering 1
discovers 1
do 1
dog 1
down 1
drinking 1
drives 1
during 2
dwarf 1
each 2
earth 1
eat 1
education 1
eggs 1
either 1
elderly 1
elephant 2
ensuing 1
exams 1
exchange 1
extract 1
falls 1
family 1
father 2
fearing 1
few 3
final 1
finally 1
find 1
finding 1
first 1
for 8
found 1
from 1
furious 1
garrote 1
get 1
ginger 1
got 1
graduation 1
guarded 1
had 4
happened 1
happily 1
has 3
have 4
he 10
head 2
her 4
hides 1
him 4
himself 1
hired 1
his 17
home 6
horses 1
hotel 2
however 2
in 12
incident 1
informs 1
intending 1
into 2
is 20
it 4
ivy 1
jacob 26
jacobs 1
jamaican 1
jankowski 2
job 1
join 1
jumps 2
just 2
kill 1
killed 1
kinko 1
knife 2
known 1
later 2
leads 1
league 1
learn 1
learns 2
leave 1
leaves 2
leaving 1
legs 1
life 1
lives 1
look 1
love 2
makes 2
makeshift 1
man 3
manager 1
many 1
marlena 10
married 2
meetings 1
meets 1
memories 2
mortgaged 1
most 1
move 1
moving 2
named 1
near 1
neck 1
new 1
news 1
next 1
night 2
ninety 1
ninetythree 2
no 2
not 1
nursing 4
occurred 1
of 9
off 2
old 3
on 4
one 4
only 3
or 4
other 1
out 2
own 1
owner 1
panic 1
paranoid 1
parents 1
paying 1
people 1
perform 1
performance 2
performing 1
pillow 1
planned 1
polish 1
practice 2
pregnant 1
preparing 1
provide 1
punishment 1
put 1
quarters 1
queenie 3
realizes 1
receives 1
redlighted 4
referring 1
refuses 1
relationship 2
release 1
result 1
returns 2
reunite 1
revealed 2
ringling 1
room 3
rosie 3
saw 1
schizophrenic 1
school 1
secret 1
see 1
selling 1
series 1
seven 1
several 2
severance 1
share 1
she 3
short 1
show 2
shut 1
sleeps 1
son 1
soon 5
spectacular 1
spending 1
stake 1
stampede 2
stay 1
stays 1
story 2
student 1
subsequently 1
such 1
summoned 1
supposed 1
suspicious 1
take 2
takes 1
taking 1
teeth 1
that 7
the 38
their 3
them 1
then 4
there 1
this 2
threat 1
throwing 1
thrown 1
tickets 1
to 30
together 2
told 2
train 5
trainer 1
training 1
trampled 1
treating 1
tried 1
truly 1
twentythree 1
two 1
uncle 4
university 1
up 1
utterly 1
utters 1
vet 2
veterinarian 1
veterinary 1
visits 1
wages 1
waiting 1
walter 3
was 5
way 1
weeks 1
were 3
what 3
when 3
which 2
while 2
who 6
whom 1
wife 1
will 1
with 7
workers 2
year 2
yearold 1
years 3
zoo 1
