4765245
/m/0cm43p
/m/0cm43p
Margaret Haddix
2001-05-01
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
about 3
accepted 1
accomplice 1
admirer 1
agent 1
alias 1
allegedly 1
along 1
amongst 1
an 2
and 18
another 1
any 1
are 2
around 1
arrest 1
arrested 1
as 4
asked 1
at 6
attacks 1
attempts 1
awoken 1
barons 1
barstow 1
be 3
been 2
begins 1
belongs 1
betray 1
book 2
boy 4
boys 1
brings 1
brutally 1
but 3
by 4
call 1
calls 1
causing 1
child 1
children 4
choice 1
come 1
comes 3
confused 1
conversation 1
convinces 2
country 1
cover 1
decides 1
democratic 1
died 1
disconnected 1
do 1
done 1
double 1
down 2
earth 1
end 1
established 1
even 1
eventually 1
except 1
fake 2
family 2
final 1
finally 1
finals 1
finding 1
first 1
for 6
friend 1
frightened 1
from 1
garden 2
garner 1
general 1
get 2
gets 1
girls 1
give 1
given 1
going 2
gone 2
government 2
governments 1
grant 2
grants 1
great 1
group 2
growth 1
happen 1
happens 1
happiness 1
harlow 1
has 5
having 1
he 16
head 1
help 1
hendricks 4
him 4
himself 1
his 10
history 1
hits 1
however 1
huge 1
id 1
illegal 1
illegals 1
in 4
including 1
into 1
is 17
its 1
jackal 3
jason 11
jen 1
killed 2
knocks 1
known 1
knows 1
later 2
laws 1
leader 1
learns 2
leave 1
lee 2
living 1
looking 1
luke 7
lying 1
mainly 1
more 4
most 1
mountain 1
mr 2
name 2
names 1
nearby 1
never 1
night 1
nina 1
no 1
nothing 1
nurse 1
of 6
office 1
officer 3
one 3
only 2
operative 1
other 4
otherwise 1
out 3
outside 1
outwardly 1
overhear 1
overpopulated 1
overthrown 1
own 1
paranoid 1
parents 1
part 1
people 2
phone 2
place 1
plant 1
plot 1
police 4
population 5
powerful 1
procrustean 1
prohibit 1
put 1
rally 1
real 3
realizes 3
really 1
regime 1
renault 1
resources 1
results 1
reveals 2
revolves 1
richest 1
rights 1
roommates 1
scarcity 1
schedule 1
school 5
scott 1
semester 1
sense 1
sent 1
she 1
skiing 1
sneaking 1
so 1
stairs 1
stay 1
still 1
story 1
symptoms 1
take 1
talbot 3
talking 1
tests 1
than 1
that 8
the 28
them 3
then 1
they 1
things 1
third 4
this 2
though 1
to 19
told 1
too 1
totalitarian 1
trampled 1
treated 1
tries 1
trying 1
turmoil 1
two 1
until 1
up 1
was 2
well 2
what 1
when 4
where 1
while 2
who 3
whose 1
will 2
with 5
woods 1
working 1
world 1
