4598682
/m/0cbw9g
/m/0cbw9g
Aaron Allston
2007-02-27
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 8
advance 1
all 1
alliance 2
also 1
amount 1
an 1
and 4
another 1
are 1
as 1
at 1
attack 1
attacking 1
attempts 2
being 3
believe 1
ben 2
but 1
by 4
characters 1
choose 1
claiming 1
conspiracy 1
corellian 1
corellians 1
dangers 1
dark 2
each 2
election 3
entity 1
escape 2
even 1
everincreasing 1
experiences 1
exploited 1
fake 1
falls 1
false 1
family 2
fear 1
field 1
filled 1
find 1
fleet 1
for 3
force 1
gain 1
galactic 1
gas 1
gets 2
goal 1
hands 1
he 2
held 1
help 1
him 2
himself 1
his 4
homeworld 1
hosting 1
in 4
increases 1
is 3
it 2
jacen 4
jedi 1
journey 1
lady 1
largest 1
leader 1
leading 1
leads 2
luke 3
lumiya 3
main 1
many 1
meditation 1
midst 1
mine 1
most 1
mysterious 1
new 1
of 7
on 2
opposes 1
other 1
out 1
over 1
peace 1
personal 1
planet 2
planning 1
popularity 1
power 2
question 1
rattle 1
rebels 1
secret 1
sending 1
set 1
shake 1
sheer 1
shows 1
side 1
signs 1
sith 3
skywalker 1
solo 2
son 1
sphere 1
strongest 1
survive 1
that 3
the 16
their 1
they 2
to 7
trail 1
trap 1
trapped 2
trouble 1
uses 1
victory 1
visions 1
war 2
was 1
which 1
with 2
without 1
would 1
ziost 2
