27309488
/m/0by1k_k
/m/0by1k_k
Booth Tarkington

a 13
accompany 1
acting 1
action 1
adding 1
admiration 1
admits 1
adventures 1
affection 1
after 1
again 1
aghast 1
alone 1
already 1
ambassador 3
amorous 1
an 3
and 19
angry 1
announces 1
anticipate 1
appear 1
are 2
arranged 1
arrival 1
arrive 1
as 7
aside 1
asks 1
asserts 1
at 4
attack 1
attempts 1
attention 1
background 1
ball 1
barber 4
bath 8
be 1
beacairechateaurien 1
beau 1
beaucaire 17
beaucaires 3
beaujolais 1
beauty 1
because 1
been 1
before 1
begins 1
behalf 2
behavior 1
behind 1
british 1
but 2
by 2
calls 1
cardcheat 1
carlisle 9
carlisles 1
carriage 1
catches 1
center 1
century 1
ceremonies 1
chamber 1
chateaurien 2
cheating 1
chosen 1
come 2
comte 1
confrontations 1
conversation 1
course 1
cousin 2
coward 1
crowd 1
days 1
de 2
defend 1
defense 1
demonstrate 1
denounces 1
depart 1
did 1
distance 1
does 1
duc 1
duels 1
duke 2
during 1
eighteenth 1
emerges 2
en 1
engage 1
england 1
english 2
escort 2
established 1
even 1
explain 1
explanation 1
expose 1
fabrications 1
fact 1
fail 1
failed 1
failing 1
fashionable 1
figure 1
finds 1
follow 1
for 5
forgiveness 1
france 2
french 5
from 5
gambling 2
gentleman 1
gentlemen 1
gives 1
gossip 1
had 1
has 5
he 7
her 2
hiding 1
highwaymen 1
him 7
himself 2
his 10
historical 1
home 1
honesty 2
impels 1
imposter 1
in 13
incident 1
indulgence 1
insists 2
insult 1
intention 1
into 1
introduce 1
introducing 1
invention 1
is 6
it 1
king 2
lackey 1
lady 10
ladys 1
last 1
leave 1
left 1
lightly 1
look 1
louis 1
low 1
m 1
marriage 1
marry 1
mary 1
master 1
men 1
mixture 1
mocks 1
molyneux 2
molyneuz 1
more 1
movement 1
named 1
nash 2
never 1
noble 1
not 1
notables 1
notes 1
novel 2
now 1
objections 1
of 21
on 2
one 2
only 2
opening 1
ordered 1
orders 1
others 2
out 1
over 1
overwhelmed 1
own 2
party 1
pretend 1
prince 2
private 1
public 2
questioned 1
recounting 1
refuses 1
relented 1
reputation 1
rescued 1
return 1
reveals 1
role 1
room 1
rooms 1
route 1
royal 1
scene 1
servants 1
served 1
setting 1
several 1
shadows 1
she 1
shouting 1
since 1
small 1
so 1
society 3
some 3
status 1
step 1
story 1
subject 1
submit 1
successfully 2
swordsmanship 1
sympathy 1
take 1
tears 1
tells 1
that 10
the 34
their 1
then 2
those 1
threatens 1
time 1
to 23
travelling 1
true 1
truth 1
twice 1
warns 1
was 1
were 1
where 1
while 1
who 5
whose 1
wins 1
winterset 7
with 3
woman 1
words 1
xv 1
