13367116
/m/03c31mt
/m/03c31mt
Jonathan Raban

15 1
16foot 1
a 5
adventures 1
along 1
aluminium 1
america 1
and 2
arabia 1
as 3
author 1
book 2
boy 1
but 1
by 2
characters 1
coasting 1
describes 1
descriptions 1
descriptive 1
developed 1
develops 1
discovery 1
down 1
emerge 1
engine 1
finn 1
fully 1
glass 1
glory 1
great 1
he 2
heartbreak 1
highly 2
his 6
hp 1
huckleberry 1
hunting 1
imagination 1
in 7
incisive 1
inspired 1
into 1
ironic 1
is 3
it 1
its 1
johnson 1
journey 1
juneau 1
landscape 1
later 2
living 1
local 1
looking 1
mark 1
meanings 1
meets 1
mirrocraft 1
mississippi 2
mister 1
more 1
norfolk 1
of 5
old 1
on 1
out 1
outboard 1
own 2
passage 1
passes 1
personal 1
powered 1
raban 2
reading 1
river 1
scenes 1
sea 1
sets 1
sevenyearold 1
starting 1
stream 1
style 2
that 2
the 7
thirty 1
this 2
through 2
to 2
transformed 1
travelogues 1
twain 1
unique 1
valley 1
voyage 1
way 1
well 1
which 1
with 1
writing 1
years 1
