3688115
/m/09vj1y
/m/09vj1y
Diane Duane
2003
a 5
accept 1
advisors 1
against 1
alaalu 3
alien 1
aliens 1
also 1
among 1
an 3
and 7
appear 1
are 2
arrive 1
as 1
at 2
avatar 1
aware 1
be 4
become 2
becomes 1
been 1
change 2
comes 1
convince 1
crime 1
current 1
dairine 3
danger 1
dark 1
destination 1
deterioration 1
disaster 1
disasters 1
dreams 1
dystopia 1
earth 2
entropy 1
evolution 1
exchange 1
existence 1
flaring 1
for 3
free 2
from 1
gift 1
guardian 1
has 1
have 3
he 1
her 1
hiding 1
hoping 1
house 1
however 2
ideal 1
in 4
inevitably 1
intragalactic 1
is 2
it 4
its 1
job 1
kit 1
local 1
lone 2
may 1
meanwhile 1
mission 1
natural 1
nightmarish 1
nita 3
of 8
on 1
one 1
other 1
out 1
people 3
permission 1
place 1
planet 4
point 1
potential 1
power 2
prevented 2
program 1
recognizes 1
recurrence 1
refused 1
save 1
scorching 1
secret 1
seems 1
setting 1
signs 1
since 1
sister 1
stage 1
such 2
sun 1
that 1
the 15
their 5
them 1
they 2
things 1
this 3
time 1
to 10
transfer 1
trapped 2
turns 1
up 2
vacation 1
very 1
visitors 1
war 1
when 2
where 1
while 1
who 1
without 1
wizard 1
wizards 2
young 1
