4738435
/m/0ckr95
/m/0ckr95
David Gemmell
1986-08-28
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
20 1
5 1
a 10
accompanied 1
act 1
after 1
against 1
allies 2
alone 1
along 1
amongst 1
and 11
anger 1
antihero 1
anyone 1
are 3
armor 1
armour 1
as 4
assassin 4
assassination 1
at 1
attempts 1
back 1
band 2
be 1
beasts 2
because 1
become 2
becomes 1
been 1
being 1
blade 1
book 1
bring 1
bronze 2
but 3
by 5
cadoras 1
can 2
certain 1
chaos 1
character 1
child 1
children 2
conscience 1
consumed 1
dakeyras 2
danyal 1
dardalion 2
dead 1
deadly 1
death 1
dewaylander 1
done 1
drenai 4
durmast 2
embarks 1
encounters 1
enemy 1
enhanced 1
events 1
every 1
families 1
farmer 1
fellow 1
find 1
first 1
follow 1
for 6
from 1
frwaylander 1
giant 1
goodlooking 1
goodness 1
group 1
guilt 1
has 3
he 10
help 1
him 3
his 6
hope 1
however 1
humanity 1
inflicted 1
into 2
is 6
journey 3
kill 4
killed 1
killer 1
king 3
knights 1
lands 2
last 1
legendary 1
like 2
loses 1
lost 1
main 1
makes 1
man 2
men 2
money 1
murdered 1
murderers 1
must 1
nadir 1
needs 1
none 1
of 9
off 1
on 3
orders 1
past 1
people 1
perfect 1
plwaylander 1
point 1
priest 3
rallying 1
reclaim 1
renowned 1
rescuing 1
revenge 1
ruthless 1
ruthlessness 1
saving 1
shadowhaunted 1
simple 1
skill 1
slayer 2
small 1
soon 3
soulless 1
source 1
stalked 1
starts 1
subsequently 1
supernaturally 1
swarm 1
symbol 1
that 2
the 30
their 1
there 1
they 1
thieves 1
this 1
though 2
three 1
tide 1
to 6
torture 1
tragically 1
traitor 1
traveling 1
travelling 1
travels 1
troops 1
trusted 1
trying 1
turn 1
twenty 1
used 1
versa 1
vice 1
walk 1
warrior 1
wash 1
way 1
waylander 11
well 1
werewolves 1
what 1
who 4
wife 1
will 1
with 4
woman 2
world 1
years 2
young 2
