9835888
/m/02pthxm
/m/02pthxm
Terrance Dicks

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
6 1
a 6
about 1
after 1
again 1
alive 1
all 1
also 1
an 2
and 17
appears 1
are 1
army 8
as 1
ask 1
at 2
attack 2
attacks 1
back 1
base 5
battle 1
been 2
being 3
building 1
but 5
by 2
canary 1
cannot 1
capable 1
capture 3
captured 1
car 1
case 1
closes 1
confrontation 1
cooperates 1
cord 1
create 1
cretaceous 1
cyberleader 5
cybermen 14
damages 1
day 1
destroy 1
destroys 1
devices 1
disappear 1
discuss 1
do 2
doctor 16
does 1
dome 3
due 2
earth 2
electrical 1
enough 1
enter 1
entering 1
equipment 1
faults 1
figure 1
for 2
forcefield 3
from 7
frozen 1
fry 1
gather 1
generator 1
get 1
go 1
goodbye 1
had 1
hands 1
have 2
having 2
he 3
held 1
help 2
helps 1
her 6
him 3
his 3
hope 2
hospital 2
how 1
in 3
inside 2
instead 1
into 2
invade 1
is 6
it 4
jones 1
journey 1
just 1
kept 1
kill 2
kills 1
know 1
labs 1
late 1
lead 1
leads 1
leave 1
lets 1
linking 1
made 1
manages 3
martha 8
materialize 1
methods 1
millennium 2
mobile 1
nearly 1
need 1
not 6
of 4
on 4
open 2
opens 1
or 1
out 1
pair 1
parallel 1
park 1
peaceful 1
period 1
phone 1
phones 1
plan 1
plans 1
portal 3
prehistoric 1
prepared 1
present 1
realises 1
realize 1
reappear 1
release 1
remaining 1
reopening 1
retrieved 1
returning 1
rex 1
right 1
royal 2
say 1
secret 1
separated 2
set 1
she 1
should 1
since 1
slip 1
snatches 1
so 2
somewhere 1
soon 1
special 1
stealing 1
stolen 1
sucked 1
suddenly 1
take 1
takes 1
tardis 4
team 1
technology 3
teleportation 1
teleporting 1
teleportion 1
tell 1
tells 1
tenth 1
that 5
the 60
their 5
them 3
then 4
therefore 1
they 5
theyll 1
theyre 1
to 22
too 1
torchwood 1
trapped 1
trying 1
two 2
tyrannosaurus 1
unfamiliar 1
universe 1
unless 1
up 2
uses 1
using 1
vanishes 1
void 4
want 1
weapons 1
were 3
wharf 1
where 6
whether 1
while 1
who 2
why 1
with 5
work 1
