16448980
/m/03y4k44
/m/03y4k44
Raymond E. Feist
1992-10-18
{"/m/01hmnh": "Fantasy"}
a 19
abigail 1
abigal 1
able 1
about 2
accident 1
accompanied 2
accomplish 1
across 2
admiral 1
after 7
aglaranna 1
all 2
allies 1
allowing 1
along 1
amos 1
an 3
and 39
anthony 4
appears 3
are 8
army 1
arutha 4
as 5
assassins 1
at 3
attack 3
attacked 1
attacks 1
attempts 1
back 1
baron 1
battle 2
be 3
becalmed 1
become 1
before 1
begin 1
being 1
below 1
benefit 1
bireme 1
both 1
boys 1
brisa 1
brother 1
burning 1
but 2
by 5
calis 3
can 1
captained 1
captives 3
capture 2
carse 2
city 3
clans 1
cliffs 2
closely 1
clovis 2
coastal 1
comforts 1
command 2
company 2
compound 1
continent 1
copies 2
copy 1
court 1
crew 5
crossing 1
crydee 5
dahakon 3
daughter 2
days 1
decides 2
deems 1
defeat 1
deformity 1
deliberation 1
despite 1
destroy 2
destroyed 1
destroys 1
destruction 1
devised 1
died 1
direction 1
discovery 1
disguised 1
distant 2
dragon 1
driven 1
due 1
duke 1
durbin 1
during 4
eagle 5
edge 1
elf 1
encounter 1
endless 1
engage 1
enough 1
evil 1
fail 1
faithful 1
father 1
few 1
finally 1
find 2
first 3
following 2
follows 1
foot 1
for 3
free 1
freeport 1
friend 1
friends 1
from 4
gains 1
gentle 1
ghuda 1
giant 1
girl 1
girls 1
great 1
guidance 1
gull 2
half 1
harry 2
have 3
having 1
he 4
head 1
heading 1
held 1
help 1
heroes 1
hide 1
him 1
himself 1
hired 1
his 11
home 2
hotlands 1
however 3
hungry 1
in 10
including 2
inexperience 1
infected 1
infiltrate 1
injured 1
intended 1
into 1
involved 1
is 13
island 1
isles 1
it 4
its 2
joined 1
journey 2
kill 1
kills 1
king 1
kingdom 7
krondor 2
lady 2
last 1
league 1
learn 4
learns 1
left 1
life 1
lifestone 1
lifestyle 1
like 1
line 1
living 1
long 1
lyam 1
made 1
magic 1
magician 1
magicians 1
make 1
makes 1
man 1
manage 1
many 2
marcus 2
margaret 3
martin 4
master 1
men 2
mercenary 1
midkemia 1
miles 1
minions 1
month 1
months 1
more 1
must 1
nakor 2
named 2
nature 1
nearly 2
necromancer 1
nicholas 17
northeastern 1
novindus 3
now 1
oasis 1
of 40
on 4
one 1
origin 1
other 1
out 1
outside 1
over 1
overlord 3
overtake 1
overthrow 1
pantathian 1
pantathians 2
pawn 1
people 1
perfect 1
pirate 1
pirates 1
plague 2
plaguecarrying 1
plan 1
plot 1
priests 1
prince 4
prisoner 1
prisoners 5
proven 1
pug 1
queen 1
raptor 1
reach 1
relative 1
renamed 1
render 2
replica 1
replicas 1
rescue 1
returned 1
returns 1
riding 1
river 1
rough 1
rougher 1
royal 4
ryana 1
sail 1
sailors 1
sails 1
saved 1
sea 4
seen 1
sends 1
sense 1
seriously 1
serpent 2
sethanon 1
ship 6
ships 1
shore 1
sinking 1
sister 1
size 1
slave 1
slavers 1
small 1
soldiers 1
some 2
son 4
southeast 1
southwest 1
squire 1
starve 1
stay 1
stumble 1
succession 1
summons 1
sunk 1
surround 1
survived 1
survivors 1
taken 2
takes 2
terrible 1
than 1
that 9
the 88
their 3
them 1
then 1
there 2
they 4
thief 1
think 1
third 2
those 2
though 1
three 1
through 2
throwing 1
time 2
tired 1
to 25
tomas 1
top 1
town 2
towns 2
trailing 1
trask 3
trust 1
tsurani 1
tulan 1
turmoil 1
turn 1
turns 1
twice 1
two 3
undead 1
underdeveloped 1
unfamiliar 1
up 3
upon 1
used 2
vows 1
warden 1
was 3
wash 1
water 1
way 2
welcome 1
well 1
wellorganized 1
were 1
west 1
what 1
when 3
where 2
whereabouts 2
which 2
while 1
who 4
will 2
with 10
wizard 2
worth 1
would 1
wounded 1
