4873110
/m/0cr_gn
/m/0cr_gn
Miles Tredinnick
2001-01-01
a 3
addiction 1
admiral 1
and 4
attends 1
back 1
breakfast 1
bring 1
broke 1
by 1
case 1
clinic 1
constant 1
craving 1
decides 1
delicate 1
deserted 1
desperation 1
despondent 1
detective 1
doctor 1
down 1
employ 1
equivalent 1
escorts 1
excitement 1
fails 1
first 1
for 1
forde 2
fripp 2
from 1
furthermore 1
girls 1
handsome 1
has 2
have 1
he 3
her 2
him 2
his 4
hooper 1
hopefully 1
in 1
is 1
it 1
left 1
legg 1
local 1
longsuffering 1
madam 1
male 1
margot 1
miss 1
newly 1
nymphomania 1
of 1
opened 1
peter 1
private 1
problem 1
problems 1
rear 1
retired 1
run 1
ryan 1
satyriasis 1
sexual 2
solve 1
suffering 1
the 3
this 1
to 3
track 1
tv 1
twyford 2
unfortunately 1
very 1
when 1
wife 2
with 1
working 1
young 1
