6322892
/m/0g0_bt
/m/0g0_bt
Seamus Deane
1996-10-03
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
120s 1
16 1
170s 1
a 6
about 2
affected 1
age 1
all 2
almost 1
although 1
an 1
and 12
anonymous 1
answer 1
are 4
around 1
as 2
asked 1
aspects 1
assembled 1
be 1
because 1
been 1
bloody 1
book 2
booker 1
both 2
boy 2
brief 1
but 1
by 1
called 1
catholic 1
catholics 1
central 1
century 1
chaos 1
chapters 2
coming 1
common 1
community 1
complete 1
constructed 1
contributing 1
crazy 1
dark 2
dated 1
deane 3
derry 3
despair 2
despite 1
different 1
discovery 2
divided 1
division 2
does 1
early 1
earlymid 1
economic 1
effect 1
emphasis 1
environment 1
episodes 1
external 1
factors 1
faery 1
family 3
familys 2
father 1
feet 1
fiction 1
focus 1
for 2
from 2
further 1
give 1
glimpses 1
grow 1
guilt 1
has 2
he 1
himself 1
his 2
hope 1
how 4
humour 1
identical 1
in 4
instead 1
into 4
involving 1
ireland 1
irish 1
is 6
island 1
joe 1
larger 1
leading 1
life 3
main 2
maintains 1
memoir 1
mentally 1
midtwentieth 1
might 1
mirrors 1
mother 1
much 2
narrator 5
narrators 2
never 1
northern 1
not 2
novel 3
novelinstories 1
of 17
often 1
on 2
partition 1
past 2
physically 1
place 1
point 1
post 1
prize 1
protagonist 1
protestants 1
provides 1
put 1
questions 1
raises 1
reader 1
reading 2
seamus 1
secret 1
secrets 1
sectarian 1
sense 1
serves 1
setting 2
shamea 1
share 1
short 2
shortlisted 1
slips 1
smaller 1
stories 3
story 1
straight 1
strong 1
structure 1
such 1
sunday 1
surroundings 1
surrounds 1
that 2
the 34
theme 1
themes 1
then 1
these 2
this 3
through 1
throughout 1
titles 1
to 3
told 1
tone 1
troubles 2
upbringing 1
usually 1
view 1
views 1
violence 2
was 2
which 1
why 1
with 3
world 1
young 1
