9695489
/m/02ppdzb
/m/02ppdzb
Soji Shimada

{"/m/02n4kr": "Mystery"}
12 1
136 1
2 4
23 1
3 2
4 1
40 1
5 2
6 3
a 32
about 5
abruptly 1
act 5
advantage 1
after 5
afterwards 1
agencies 1
alchemicallysignificant 1
alchemy 1
alibis 1
aligned 1
all 5
also 1
an 4
and 39
anonymous 1
answer 1
answers 1
apart 2
apparently 1
approached 1
appropriately 2
are 1
aries 2
around 1
arranged 1
arrived 1
arrives 1
as 9
assumed 1
astrologer 1
astrologically 1
astrology 1
at 2
attention 1
author 2
avid 1
azoth 4
back 1
bashed 1
battle 1
be 6
become 2
been 5
behind 1
bet 2
bill 1
bills 1
bizarre 1
blackmailed 2
blunt 1
bodies 4
body 1
boorish 1
brilliant 1
brought 1
building 2
buried 2
bury 1
but 4
by 7
called 1
can 1
carry 2
case 1
cases 1
challenges 1
chapters 1
characters 1
cigarettes 1
claimed 2
claims 1
client 1
clue 1
combining 1
committed 1
comprehensive 1
concludes 1
confession 1
containing 1
convicted 1
counterfeit 1
cousins 1
coy 1
create 1
credit 1
culprit 3
curious 1
cut 1
cuts 1
cutting 1
cycle 1
daughter 3
daughters 2
day 1
dead 1
deduce 1
describes 1
detailing 1
diabolism 1
disappear 1
discovered 4
disease 1
divided 1
divorced 1
do 1
each 3
elaborate 1
environs 1
even 1
ever 1
every 1
everyone 1
everything 1
evidence 2
exact 1
exchange 1
excluding 1
explains 2
extra 1
extremely 1
fact 4
fairly 1
family 2
fan 1
fictional 1
final 1
finishes 1
finishing 1
first 4
five 1
focus 1
folks 1
follows 1
for 7
foreword 1
forgery 1
freelance 1
friend 1
from 5
further 1
future 1
gathering 1
go 1
gone 1
great 1
gruesome 1
had 10
hands 1
has 2
have 3
having 1
he 17
head 2
heard 1
heavily 1
heikichi 9
her 12
hers 1
him 1
himself 1
hint 1
his 13
holmes 1
house 1
household 1
identifies 1
if 4
ii 1
illustrator 1
impoverished 1
imprisoned 1
in 27
included 1
includes 1
information 2
insane 1
inside 1
insight 1
intended 1
interview 1
into 1
investigated 1
investigation 2
involved 1
is 20
ishioka 7
it 9
item 1
itself 1
japan 4
kanemoto 2
kazue 5
kazumi 1
killed 1
kiyoshi 1
kyoto 2
large 1
last 2
lay 1
lays 1
leading 1
lengthy 1
letter 3
life 2
like 1
listed 3
lives 1
living 1
locked 4
long 1
longrunning 1
made 1
makes 1
man 1
many 2
marriage 1
mass 1
means 1
meeting 2
member 1
mental 1
metal 1
metals 2
mines 1
mislead 1
mitarai 9
money 1
more 2
mother 1
motivated 1
mt 1
murder 7
murdered 2
murderous 1
murders 7
musing 1
mutilated 2
mysteries 2
mystery 1
nakano 1
name 1
named 1
narrator 1
national 1
near 1
necessary 1
needed 2
new 2
news 1
next 1
nieces 2
no 1
not 2
note 3
notebook 1
novel 3
now 1
number 1
object 1
obsessed 1
of 26
old 3
on 5
one 11
only 1
or 2
organizations 1
other 2
others 1
out 4
over 2
page 1
pages 1
painter 1
paintings 2
paper 2
particularly 1
people 2
perfect 1
period 1
piece 2
pieces 2
placate 1
place 2
places 1
plan 1
plays 1
police 2
policeman 3
polite 1
poor 1
portrait 2
possible 1
present 1
prewar 1
preworld 1
prime 1
private 1
probably 1
produces 1
producing 1
prose 1
reader 3
readers 1
reason 1
received 2
related 1
relations 1
remaining 2
remains 2
reputation 1
respectable 1
revealed 1
revenge 1
role 1
room 3
ruined 1
run 1
same 3
scam 1
school 1
secret 2
sections 1
see 1
seemed 1
sees 1
selling 1
sender 1
sending 1
sensation 1
setting 1
several 1
sex 2
she 4
short 2
shortly 1
shwa 1
significant 1
silence 1
single 1
six 1
smashed 1
snowing 1
solid 1
solution 1
solve 2
solves 1
son 1
soon 2
specified 2
spirit 1
split 1
sprawling 1
started 1
starts 1
stepdaughters 2
stepmother 1
stepsisters 1
stills 1
story 3
street 1
struck 1
studio 2
subsequent 1
such 1
sudo 1
suicide 1
surviving 1
suspect 1
suspects 2
tae 1
taeko 3
take 2
takes 1
taking 1
tape 1
tapes 1
task 1
teaching 1
text 2
than 1
that 12
the 94
their 1
them 3
themselves 1
then 1
there 3
they 1
those 1
three 1
time 3
to 28
together 2
tokiko 1
too 1
took 1
traditionally 1
travel 2
treatment 2
try 1
umezawa 1
unable 1
under 1
unfair 1
unsolved 1
until 1
up 6
urge 1
used 1
utterly 1
valuable 1
various 1
victims 1
virgin 1
war 1
warning 1
was 5
waste 1
watson 1
way 2
ways 1
wealthy 1
week 1
well 1
were 3
when 3
where 1
which 10
who 7
widow 1
wife 1
will 7
wind 1
with 16
woman 2
womanizer 1
women 3
works 1
would 6
wouldve 1
writes 1
yahiko 1
years 1
you 1
young 3
zodiac 3
