7459430
/m/0262fgj
/m/0262fgj
Rex Stout

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 14
able 1
after 3
alternative 1
ambulance 1
an 1
and 14
anna 1
anyway 1
apparent 1
apparently 1
archie 2
are 1
arranged 1
arrested 2
arsenic 3
as 2
assumed 1
at 4
background 1
bail 1
be 3
because 4
been 4
behalf 1
best 2
between 2
blindfold 1
blount 24
board 1
both 1
brought 2
business 1
but 6
by 3
called 1
cannot 1
case 1
certain 2
charged 1
chess 4
chocolate 4
circumstances 1
clearly 1
club 2
complained 1
complains 1
conjectures 1
connection 1
contest 3
continue 1
convinced 1
corporate 1
correct 1
could 1
criminal 1
cup 1
dan 1
daughter 1
demonstrate 1
determine 1
diagnosed 1
did 1
didnt 2
died 1
dies 1
different 1
discomfort 1
discovered 1
doctor 2
drink 1
during 1
each 2
easy 1
eat 1
effect 1
efforts 1
election 1
enter 1
except 1
face 1
fact 2
farrow 1
father 4
feel 1
fell 1
firm 1
for 5
four 2
from 1
furthermore 1
gambit 1
game 2
games 2
get 4
give 1
going 1
good 1
got 1
had 8
has 4
hausman 1
have 4
he 8
heart 1
her 4
him 3
himself 1
hires 1
his 4
hospital 1
hot 2
how 1
however 1
hypothesis 1
identity 1
ill 1
in 13
inclined 1
independently 1
infer 1
innocence 1
innocent 1
inquiries 1
into 2
investigate 1
is 11
it 3
jailed 1
jerin 20
kalmus 4
kill 1
known 1
law 2
lawyer 1
learns 2
legal 1
library 3
like 1
love 2
main 2
master 1
matthew 1
messengers 5
might 2
mother 1
motive 3
moves 1
murder 2
murderer 2
needed 1
neither 1
no 2
none 1
nor 1
not 6
nothing 1
of 11
off 1
on 3
only 3
opportunity 1
or 1
other 1
out 3
over 1
own 1
paul 1
pawn 1
people 1
physical 1
play 1
playing 1
point 1
poisoned 1
poisoning 1
poisonous 1
police 1
possible 1
pot 2
put 2
puts 1
really 1
relayed 1
reluctant 1
represents 1
resents 1
result 1
rid 1
room 2
sacrificed 1
sally 6
sat 1
sedative 1
seeing 1
seems 1
she 1
shortly 1
show 1
simultaneous 1
sitting 1
small 1
so 2
something 1
speaks 1
specialty 1
surely 1
suspects 1
take 1
tests 1
than 1
that 13
the 29
their 1
them 1
then 1
there 1
thereafter 1
things 1
thinks 1
this 1
to 20
try 1
turns 1
twelve 1
unhappy 1
very 1
vote 1
wanted 1
wants 1
was 6
washed 1
way 1
well 2
were 1
what 1
where 1
whereas 1
which 1
who 2
whose 1
wife 1
will 1
winning 1
with 4
without 1
wolfe 8
wont 2
words 1
would 2
yerkes 1
