4911853
/m/0ctv7l
/m/0ctv7l
Paul Davids

a 6
able 3
aboard 1
accustomed 1
after 2
agrees 1
aid 1
all 1
also 1
although 3
an 1
and 9
are 2
ask 1
attacked 1
be 1
become 1
before 2
bespin 1
bet 1
bounty 1
brings 1
brought 1
by 4
calrissian 1
can 1
captured 2
carbonite 1
cards 1
casino 3
city 4
claim 2
cloud 1
custody 1
death 1
defeated 1
destroys 1
droid 1
droidfest 1
escape 2
ever 1
experience 1
factory 2
falcon 1
father 1
flies 1
for 1
force 1
freezing 1
game 1
get 1
gift 1
give 1
governor 1
guards 1
han 4
has 2
he 3
hell 1
help 1
him 4
his 6
hoping 1
housekeeping 1
housewarming 1
however 2
hunters 1
hutt 1
hutts 1
if 1
in 5
is 7
jabba 2
jailers 1
jedi 2
kate 1
ken 4
killed 1
lando 2
learning 1
learns 1
leave 1
left 1
leia 5
lost 2
luke 2
manage 1
marking 1
marry 1
meanwhile 1
millennium 1
mind 1
mishaps 1
murderer 1
named 1
of 8
on 2
only 1
order 2
outside 1
over 1
paint 1
planet 2
police 1
proposes 1
queen 1
raiders 1
ready 1
rebels 1
refuses 1
rescue 1
reunited 1
reward 1
sabacc 1
see 1
series 1
set 1
son 2
stormtroopers 1
taken 2
tatooine 1
taunts 1
that 3
the 19
they 2
thinking 1
through 1
to 16
trade 1
trick 1
trioculus 6
tusken 1
ultraviolet 1
up 1
upon 1
use 1
warning 1
was 1
when 1
who 1
with 4
wondering 1
wont 1
world 1
zorba 6
