4246198
/m/0bs46z
/m/0bs46z
Jeffery Deaver
1999
{"/m/0lsxr": "Crime Fiction"}
1 1
3 1
6 1
66 1
a 13
about 1
actually 1
adding 1
after 1
agent 3
all 2
also 1
although 1
an 3
and 13
another 1
are 3
as 3
assisting 1
at 7
attack 1
attacks 1
authenticity 1
bad 1
bags 2
based 1
be 3
because 1
been 1
before 1
being 1
boatman 1
body 1
break 1
by 5
cage 3
call 1
called 1
can 2
carry 1
case 2
cash 1
caused 1
children 3
circle 1
comes 2
complete 1
concludes 2
conducted 1
continue 2
contribute 1
custody 1
daughter 1
day 1
dc 1
dead 1
debating 1
decides 1
declines 1
deliver 1
demanding 1
demands 1
detective 1
devil 1
died 1
digger 3
dismay 1
document 1
doesnt 1
dollars 1
done 1
down 2
dropoff 1
dropped 1
dubs 1
dumb 1
dupont 1
either 1
election 1
elements 1
ensure 1
ensuring 1
eve 1
examiner 1
explain 1
extortionist 3
exwife 1
faith 1
fbi 1
for 2
foreign 1
friend 1
from 2
george 1
gerald 1
gilbert 1
goes 1
guns 1
had 2
hardy 2
harmed 1
has 2
havel 2
he 8
help 1
her 1
him 1
his 8
hitandrun 1
home 1
hotel 1
house 1
however 1
i 1
idea 1
if 1
imprint 2
in 7
incident 1
innocent 2
innocents 1
intellectual 1
interstate 1
investigation 2
is 10
it 3
joan 2
kennedy 2
killed 1
killer 1
kincaid 1
knowledge 1
late 1
len 1
letter 9
like 1
locations 1
lose 1
lukas 2
make 2
makes 2
man 1
margret 2
mayor 2
met 1
metro 1
midnight 1
million 1
mistakes 1
money 2
more 2
morning 1
must 1
near 1
nearing 1
needs 1
new 1
next 1
no 1
not 2
note 1
now 1
of 7
off 2
officer 1
old 1
on 7
only 1
or 2
over 1
own 1
paper 1
park 1
parker 10
partially 1
past 1
people 1
piece 1
plot 1
pm 2
point 1
pondering 1
president 1
purpose 1
put 1
receives 1
referred 1
remaining 1
responsible 1
retired 1
robby 2
scans 1
second 1
secret 1
seems 1
sends 1
sensing 1
she 1
shooting 1
shootings 1
show 1
shows 1
since 1
site 2
social 1
some 1
son 2
spending 1
station 1
story 1
strange 1
strike 1
stroke 1
studies 1
studying 1
subway 1
summary 1
supposedly 1
sure 1
suspect 1
take 1
team 1
teardrop 1
tel 1
tells 2
tens 1
that 13
the 37
their 1
there 1
this 2
time 3
to 14
town 1
tracking 1
tried 1
twenty 1
under 2
unwanted 1
up 2
wants 2
washington 2
when 2
which 2
will 3
window 1
with 2
wont 1
worker 1
writer 1
written 1
year 1
you 1
