22459634
/m/05zqlw5
/m/05zqlw5
Neal Shusterman
2007
10 1
18 1
a 48
about 5
across 1
admiral 7
adopt 1
adult 1
after 5
again 1
against 1
age 2
agrees 1
aircraft 1
airplane 1
airport 1
alarm 1
all 3
alone 1
along 1
also 1
an 6
and 50
anew 1
another 1
antique 1
any 1
appears 1
are 8
area 1
ariana 1
arm 2
around 1
arrest 1
arrives 1
as 11
ask 1
assigns 1
astonished 1
at 11
attack 1
attempt 1
attempts 1
attend 1
away 2
awol 1
baby 6
back 2
backs 1
baited 1
baits 1
band 1
bathroom 2
be 15
because 5
becomes 2
becoming 1
been 2
before 3
begin 1
begins 1
begun 1
being 4
believes 2
believing 1
belonged 1
best 1
between 1
big 1
biggest 1
birthday 1
birthdays 1
bits 1
blend 1
blood 1
bloodstream 1
bomber 1
breaking 1
briefly 1
bringing 1
brings 1
budget 1
bully 1
bus 2
but 5
by 11
calls 1
calm 1
camp 6
can 2
cannot 1
cant 1
car 2
caught 2
caused 1
causes 1
celebrating 1
cell 1
centers 1
chain 1
chance 1
change 1
changes 1
charge 1
child 2
children 2
claim 1
claims 1
clapper 1
clappers 1
clapping 1
cleaver 1
closure 1
collect 1
come 3
comes 2
confesses 1
connor 20
continuing 1
control 1
convince 1
cop 2
cops 1
could 1
cream 1
cripples 1
cruising 1
cuts 1
cyfi 2
damage 1
days 1
death 1
decided 1
decides 1
demand 1
despite 1
destination 1
detail 1
determined 1
detonate 1
didnt 1
direct 1
discovered 1
discovers 1
dissent 1
does 1
doesnt 1
done 2
doorstep 1
doubts 1
down 1
due 1
during 1
each 1
ecaped 1
eighteen 2
eighteenth 1
ends 2
enough 1
entirely 1
escape 5
even 2
eventually 1
everything 1
experience 1
explosion 1
explosive 2
explosives 1
eye 1
faces 1
facilities 1
fake 1
family 1
felt 1
few 1
fight 1
fighting 1
fights 1
final 1
fire 1
flee 1
flees 1
fluid 1
fly 2
for 2
former 1
formerly 1
free 1
friend 1
from 13
full 1
games 1
gathering 1
get 2
gets 2
given 1
gives 1
go 3
god 1
goes 1
goodbye 1
got 1
gotten 1
graveyard 5
group 1
groups 1
guard 1
had 2
hannah 2
hard 1
harvest 3
harvesting 1
has 5
have 3
having 3
he 16
headed 1
heart 3
hed 1
helicopter 1
help 3
helped 1
helps 2
her 2
herself 1
hide 2
high 1
higher 1
him 14
himself 3
his 16
holding 1
home 1
honor 1
hospital 2
hostage 1
house 3
how 1
however 1
human 1
husband 1
ice 1
id 1
if 1
in 15
incoming 1
injected 1
injuries 1
inside 1
instead 1
intends 1
into 3
investigates 1
is 15
isnt 1
it 5
join 1
joins 2
joplin 1
just 3
juveycop 1
keep 1
kick 1
kid 2
kids 5
killed 2
knowing 1
knows 1
last 1
later 1
leader 1
learns 1
leave 2
letters 1
lev 13
like 1
likely 1
liquid 1
live 1
looming 1
loved 1
made 1
mail 1
make 3
man 1
managed 1
many 1
meantime 1
mechanic 1
medic 1
met 1
might 1
mind 3
minute 1
morning 1
named 2
nearby 1
needed 1
new 3
next 2
not 2
number 1
nurse 1
of 19
off 1
office 1
old 1
on 6
one 1
ones 1
only 1
opportunity 1
or 1
ordered 1
orders 1
other 3
others 1
out 5
over 2
overturn 1
own 1
paper 1
paralyzed 1
parents 1
parts 2
party 1
pass 1
past 1
pastor 1
peace 1
people 1
perfect 1
phone 1
pick 1
picking 1
plain 1
playing 1
plays 1
police 2
power 1
program 1
promise 1
provides 1
pull 1
pulls 1
pursued 1
puts 1
rape 1
rather 1
reach 1
received 1
recipient 1
refused 1
refuses 1
relationship 1
remain 1
removed 1
request 1
resists 1
responsible 1
return 1
rich 1
riot 1
risa 15
risk 1
roland 11
run 2
runaway 1
running 1
runs 1
safe 3
said 1
save 2
saved 1
saves 1
say 1
scheduled 1
school 4
secret 1
shark 1
she 4
shield 1
shoots 1
short 1
shortly 1
should 1
shuttle 1
side 1
single 1
sixteen 1
slowly 1
smarts 1
snatching 1
so 3
some 1
son 2
sonia 2
sow 1
sown 1
specifically 1
spreading 1
spy 1
staho 1
starts 1
state 2
stay 2
store 2
stories 1
storked 2
story 2
street 1
sudden 1
suicide 1
supplies 1
take 4
taken 3
takes 2
tattoo 1
teacher 1
teaches 1
tell 1
tells 2
tenth 1
than 2
that 4
the 74
their 6
them 10
then 1
there 2
they 13
things 1
this 2
though 1
threat 2
three 3
time 1
times 1
tithe 3
to 64
too 2
tougher 1
tracker 1
traffic 1
tranquilizer 1
treatment 1
tries 2
triggered 1
trouble 1
trucker 1
turn 1
turned 1
two 2
type 1
under 1
understand 2
unite 1
until 1
unwilling 1
unwillingly 1
unwind 3
unwinding 3
unwittingly 1
unwound 11
up 7
use 1
used 1
usually 1
view 1
waist 1
waiting 1
wants 1
ward 1
wards 1
warehouse 2
was 1
way 3
weak 1
well 2
when 3
where 4
which 5
while 3
who 13
whom 1
whose 2
wife 1
will 3
with 10
woods 1
words 1
work 1
would 3
wreckage 1
write 1
year 2
youth 2
youths 1
