16711040
/m/0403xpl
/m/0403xpl
René Goscinny
1973
a 5
all 1
an 1
and 2
as 1
assassinate 1
assigned 1
attacks 1
bandits 1
be 1
best 1
bodyguard 1
but 1
by 1
complete 1
completed 1
diplomatic 1
duke 3
first 2
for 1
foremost 1
grand 2
have 1
he 1
his 1
important 1
in 1
indian 1
is 2
lucky 1
luke 1
of 1
or 1
order 1
pays 1
persons 1
quickly 1
recreational 1
russian 2
sorts 1
spy 1
states 1
targeted 1
the 4
through 1
to 5
treaty 1
tries 1
trip 1
united 1
villainous 1
visit 1
wants 1
west 1
who 2
with 1
worst 1
