21182202
/m/05c2l0g
/m/05c2l0g

1959
{"/m/06n90": "Science Fiction"}
170 1
a 9
accept 1
acceptable 1
across 1
agrees 1
all 1
almost 1
also 1
although 1
an 2
and 5
andromeda 1
are 2
area 1
as 3
attempts 1
authoritarian 2
based 1
battles 1
be 1
become 1
british 1
buchan 1
bulk 1
by 3
cambridge 1
chapter 1
come 1
confined 1
corporation 1
cursory 1
denouement 1
eire 1
end 1
enigmatic 1
explained 1
far 1
few 1
fiction 2
fighting 1
find 2
flowing 1
for 1
forbidden 1
foreshadows 1
founders 1
from 1
going 1
has 2
here 1
hero 3
hoyle 1
in 2
industrial 1
ire 1
irish 3
is 6
its 1
john 1
just 1
labelled 1
landscapes 1
large 1
last 1
later 1
legendary 1
link 1
made 1
manner 1
more 2
murderous 1
mysterious 1
near 1
new 1
not 1
note 1
notion 1
novel 1
occupying 1
of 10
on 1
ossian 1
out 2
owes 1
peripheral 1
plot 1
police 1
policemen 1
population 1
produced 1
publisher 1
range 1
resist 1
ruled 1
science 3
scientist 1
secret 2
seems 1
selfappointed 1
sent 1
series 1
settled 1
society 1
somewhat 1
southwest 1
spy 1
state 1
story 1
style 1
supermen 1
technologies 1
the 21
theme 1
there 1
they 2
this 1
though 1
thriller 1
thugs 1
to 9
tradition 1
vast 1
way 1
wealth 1
what 1
which 1
who 1
wild 1
with 1
young 2
zone 1
