19955124
/m/04y9s6l
/m/04y9s6l
Muriel Barbery
2006-08
{"/m/05hgj": "Novel"}
16 1
27 1
7 1
a 9
accept 1
actually 1
adults 1
after 1
age 1
all 2
alone 1
also 1
although 1
an 3
and 17
apartment 3
apartments 1
around 2
as 2
at 4
autodidact 1
avoid 3
back 1
bank 1
barthes 1
be 2
beauty 1
been 1
before 1
befriend 1
being 1
believes 1
between 1
beyond 1
birthday 1
bourgeois 2
building 5
burn 1
businessman 1
but 3
by 5
can 1
celebrated 1
characters 1
class 1
comes 2
commit 2
conceals 1
concierge 2
conciergetype 1
condemnation 1
condemns 1
condition 1
connections 1
considers 1
courtyard 1
critic 1
cross 1
cultured 1
curiosity 1
dark 1
de 1
death 1
decides 1
devastated 1
dies 1
disillusioned 1
dismayed 1
distinctly 1
divided 1
dont 1
down 2
dying 1
each 2
early 1
edmund 1
effects 1
eight 1
elegant 1
elisabeth 1
end 1
enjoys 1
exclusion 1
existence 1
expense 1
families 1
fascination 1
fifth 1
find 1
floor 1
food 2
for 4
garden 1
girl 1
grenelle 1
had 1
happens 1
has 3
hedgehog 1
her 13
hides 1
highquality 1
however 1
humanity 1
husserl 1
in 9
including 1
indulge 1
intelligence 2
intelligent 1
interests 1
internal 1
into 1
is 6
it 1
japanese 1
job 1
josse 1
journals 1
june 1
kakuro 1
keep 1
laundry 1
leads 1
leaves 1
left 1
leo 1
life 4
likewise 1
listens 1
literature 2
lives 1
living 3
lowquality 1
luxury 1
mainly 1
makes 1
meaningless 1
michel 1
moreover 1
most 2
mother 1
named 1
not 2
nothing 1
novel 2
observations 1
occupied 1
of 14
on 2
one 3
only 2
opera 1
other 2
ought 1
our 1
out 2
outside 1
ozu 3
paloma 8
parents 1
paris 1
people 1
perceptions 1
perspective 1
philosophy 2
pills 1
planning 1
poor 1
precocious 1
pretending 1
private 1
privileged 1
pursue 1
reads 1
realizes 1
refinement 2
rene 8
residents 1
restaurant 1
reviewer 1
revolves 1
roland 1
room 2
rue 1
same 3
school 1
seclusion 1
see 1
share 2
she 14
shortly 1
simple 1
sister 1
snobs 1
society 1
something 1
steals 1
story 1
streets 1
struck 1
suicide 2
supervised 1
suspects 1
takes 1
teaching 1
television 1
tenant 1
tenants 2
that 6
the 29
their 1
them 1
then 1
they 1
thirteenth 1
this 2
time 2
to 13
tolstoy 1
towards 1
twelveyearold 1
two 1
ugly 1
unless 1
until 1
uppermiddle 1
upstairs 1
vacuousness 1
van 1
vanity 1
vincentelli 1
wants 1
way 1
while 1
who 3
whom 2
widow 1
will 1
with 3
words 1
works 1
world 2
worth 2
years 1
young 1
