1521145
/m/057ptp
/m/057ptp
Mike Resnick

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
17 1
a 8
achieve 1
after 1
alien 2
aliens 2
all 2
allows 1
also 2
an 1
and 3
another 1
any 1
are 1
as 5
at 1
attempt 1
beginning 1
between 2
biggest 1
birthright 1
brand 1
but 4
by 2
chapters 2
chronicles 1
clearly 1
conquering 1
conquest 2
cover 1
cross 1
deal 1
death 1
decline 1
deepseated 1
defined 1
democracy 1
described 1
despite 2
development 1
diplomatic 1
displaying 1
down 1
early 1
earth 1
economic 1
elusive 1
empire 1
enabled 1
ending 1
entire 2
expansion 1
extensively 1
failure 1
far 1
feat 1
fiction 1
finesse 1
for 2
from 2
galaxies 1
galaxy 2
genre 1
growing 1
human 2
humans 2
in 4
inhabited 1
internal 2
irony 1
is 5
it 5
keep 1
last 1
left 1
less 1
literary 1
long 1
manage 1
manifests 1
mankind 3
military 1
millennia 1
monarchy 1
more 1
most 1
nearly 2
never 1
no 1
not 2
of 15
one 1
only 1
opposition 1
oppressed 1
or 1
overcome 1
overpowered 1
particular 1
peculiarities 1
perhaps 1
politics 1
power 3
pressure 1
quality 1
race 1
races 1
resentment 1
result 2
results 1
reveals 1
rise 1
room 1
search 1
sentient 1
setbacks 1
shared 1
simple 1
slow 1
some 2
somehow 1
spans 1
stage 1
steady 1
struggles 1
succinctly 1
takes 2
that 3
the 16
theme 1
then 1
there 1
they 1
thousands 1
timeline 1
to 5
tool 1
total 1
treatment 1
unable 1
undeniably 1
unique 1
using 1
very 1
void 1
way 1
well 1
were 1
whatever 2
when 1
which 1
with 2
