5390085
/m/0djnrp
/m/0djnrp
Isobelle Carmody
1994-05
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/07lw0y": "Post-holocaust", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 33
abilities 3
able 1
aborium 2
about 1
across 1
after 3
agree 1
agrees 1
agyllian 1
agyllians 1
alive 1
all 1
alone 2
also 1
an 4
and 24
approaching 1
approved 1
are 9
ariel 1
armsmen 3
around 1
arrange 1
arrival 1
as 10
asks 1
at 6
attempt 1
atthis 1
awaits 1
baby 1
back 6
badly 1
bargain 1
barrier 1
be 6
bears 1
before 4
beforetime 3
being 2
believed 1
believes 1
birds 1
block 1
blocking 1
body 1
bonded 1
bonding 1
book 1
books 1
both 1
breaks 1
bring 1
brydda 3
bryddas 3
built 1
bumps 1
but 4
by 13
cache 1
calls 1
came 1
camp 3
can 2
capital 1
captive 3
capture 1
cat 1
catching 1
cause 1
caused 3
causing 1
cavern 1
city 2
cloister 2
closes 2
coast 1
coaxing 1
collapsed 1
coma 1
commotion 1
constrained 1
contacts 1
containing 2
conversations 1
convinces 1
core 1
councils 1
couple 1
daffyd 2
darthnor 1
daughter 1
dead 1
deadly 1
deaf 1
demon 1
deserted 1
destination 1
destined 1
destroy 1
destroyed 1
destroyer 1
dinner 1
directions 1
disease 1
disguised 1
dogs 1
domick 2
dominic 1
down 2
dragged 1
dragon 2
drowned 1
druid 2
druids 1
dubbed 1
during 1
dying 1
earlier 3
elspeth 15
elspeths 1
eluded 1
emerging 1
enough 1
enters 1
equals 1
escape 1
escaped 2
eventually 3
existence 1
exiting 1
expedition 5
faith 1
fall 1
falls 1
farseekers 1
farseeking 1
fear 1
feet 1
find 1
finds 1
fine 2
firestorm 2
fitful 1
flames 1
flee 1
fleeing 1
follows 1
food 1
fool 1
for 2
free 1
frees 1
friends 1
from 3
gahltha 2
get 1
gilbert 1
girl 2
go 1
great 1
group 9
guannette 1
guildmerge 1
guilds 2
gypsy 1
had 4
halfway 1
haunted 1
haven 1
having 1
he 2
head 1
heal 2
health 1
held 1
help 2
henry 1
her 13
herder 2
herders 1
highest 1
highlands 2
him 8
his 4
home 1
horrific 1
horses 1
house 3
however 2
if 2
immediately 1
in 16
infamous 1
informed 1
initially 1
injured 1
inn 1
inside 3
instead 2
intend 1
intended 1
interrogation 1
into 3
invited 1
is 19
island 1
isle 1
it 2
itself 1
jik 6
jiks 1
join 1
joining 1
joins 1
joint 1
journey 2
just 2
kella 3
large 4
late 1
later 2
leader 3
leaders 2
learns 1
leaves 1
led 1
length 1
library 2
life 1
liking 1
local 1
looked 1
lower 1
make 1
making 1
many 2
marriage 1
maruman 1
marumans 1
meanwhile 2
meeting 2
men 1
mental 3
met 1
mind 5
misfit 4
misfits 1
months 1
mountain 3
mountains 2
movements 1
must 3
mystified 1
named 1
nearby 1
night 2
north 1
novice 3
nursed 1
obernewtyn 6
of 17
off 1
offers 1
on 5
one 1
only 2
or 1
order 3
other 2
others 3
outside 1
overjoyed 1
pain 1
parents 1
particularly 1
parties 1
pass 4
pavo 2
perishes 1
person 2
presumed 1
prisoner 1
promise 1
prophecy 1
propose 1
proposes 1
pursuers 1
quest 1
questioned 1
rafts 1
rapids 1
realise 1
realising 1
rebel 2
recover 1
refusal 1
reminds 2
request 1
rescue 3
rescued 1
response 1
return 2
returning 1
returns 1
reveal 1
reveals 3
ridden 1
rides 1
risk 1
ruin 1
ruined 1
ruins 1
rushes 1
rushton 4
safe 2
safely 1
safety 1
secret 4
see 2
seek 1
sees 1
send 1
sent 1
separated 1
set 3
sets 1
she 8
should 1
side 1
small 1
so 1
soldierguard 1
soldierguards 1
soliderguards 1
some 1
someone 2
son 1
speaks 1
specified 1
spoke 1
storm 1
strikes 1
strong 1
subsequent 1
suddenly 3
sutrium 2
take 3
taken 6
takes 1
teach 1
test 2
that 5
the 58
their 8
them 6
there 1
they 13
this 1
though 2
through 4
time 1
to 44
too 2
travel 2
treated 1
troop 1
try 1
two 1
unanimously 1
unknown 1
untouched 1
up 3
upcoming 1
use 1
very 1
via 1
vision 1
visions 1
voice 1
warn 1
waterfall 1
weaponmachines 2
well 1
wellestablished 1
west 1
wharf 1
where 2
whether 1
which 2
while 1
white 1
who 6
wild 1
will 1
winter 1
wintery 1
with 9
work 1
years 1
zarak 1
zebrakhen 1
