3061467
/m/08nxkc
/m/08nxkc
Arnold Bennett

{"/m/01z4y": "Comedy"}
a 2
abandons 1
achieve 1
affection 1
affinity 1
also 1
an 3
and 6
are 2
as 3
battle 2
between 2
boat 1
book 2
both 3
but 1
by 3
canada 1
chance 1
characters 3
chronicles 1
concerns 1
discover 1
each 1
elderly 1
end 1
enjoyable 1
ensuring 1
estranged 1
financial 1
follows 1
for 1
from 1
her 1
his 3
house 1
indeed 1
influence 1
into 1
is 1
life 1
man 1
married 1
meeting 1
miser 1
miserly 1
miss 1
moves 1
much 1
niece 4
occasion 1
of 3
on 1
other 1
outcome 1
partners 1
prejudices 1
reader 1
relished 1
reluctantly 1
remove 1
romances 1
same 1
scheme 1
some 1
story 1
strong 1
stubborn 1
such 1
suitable 1
that 2
the 14
their 1
to 3
two 2
uncle 2
under 1
what 1
will 1
wills 1
witty 1
would 1
young 1
