5283185
/m/0dcgw3
/m/0dcgw3
Christopher Bulis

a 1
alien 1
an 1
and 2
are 1
arkhaven 2
as 2
backup 1
becomes 2
bring 1
cannot 1
cities 1
city 1
companions 2
creeper 1
deal 1
disaster 1
doctor 2
doomed 1
entity 1
for 2
has 1
help 1
him 1
his 2
however 1
ill 1
is 1
it 1
last 1
lost 1
mentally 1
might 1
must 1
no 1
of 2
on 1
one 3
other 1
outskirts 1
people 1
plan 1
planet 1
plans 1
power 1
prowling 1
sabotage 1
survival 1
the 8
then 1
there 1
this 1
threatening 1
to 2
travel 1
two 1
underlying 1
various 1
vie 1
with 1
