23248533
/m/065y4d8
/m/065y4d8
Desmond Bagley
1965
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 12
aguilla 4
air 1
america 1
among 1
an 1
and 7
are 2
area 1
arrive 2
as 3
associates 1
at 2
be 1
becomes 1
been 1
between 1
bridge 2
bring 1
but 1
by 4
causing 1
citadel 1
climax 1
communist 2
copilot 1
country 4
coup 1
crash 2
cross 1
crossing 1
damaged 1
dead 1
deposed 1
dies 1
divisions 1
engineer 1
faction 1
fear 1
for 2
force 1
former 1
from 2
gorge 1
gripping 1
had 1
he 1
help 1
hijacked 1
hijacker 1
hijackers 1
him 1
his 1
historian 1
in 2
increasingly 1
is 4
isolated 1
its 2
ja 1
landing 1
loyal 1
maintain 1
maintained 1
majority 1
manufacture 1
materials 1
medieval 1
military 1
mountain 2
nearby 1
niece 1
novel 1
now 1
number 1
of 6
off 1
other 2
over 1
passenger 1
passengers 3
pilot 1
plane 1
plot 1
position 1
prefabricated 1
president 1
prevented 1
problem 1
prolong 1
pseudonym 1
range 2
reach 1
reaches 1
reinforcements 1
remain 1
repair 1
returning 1
senor 1
separated 1
set 1
sides 1
siege 2
since 1
small 1
soon 1
south 1
standoff 1
storm 1
survivors 1
takeover 1
the 26
their 1
there 1
they 1
threatened 1
to 8
two 2
unbenknownst 1
under 1
unfolds 1
variety 1
vehicles 1
villains 2
wants 1
weapons 1
were 1
which 3
while 1
who 1
will 1
with 2
