8679956
/m/027dr7g
/m/027dr7g
Colin Brake

a 7
aboriginals 1
adopted 1
ago 1
alien 1
alone 1
an 2
ancient 1
and 5
answer 1
appearing 1
are 2
arrive 1
arrived 1
as 1
attacking 1
baby 1
beauty 1
becomes 1
becoming 1
breathtaking 1
but 1
by 2
called 1
causes 1
creatures 1
disasters 2
distress 1
doctor 2
down 1
ecosystem 1
emp 1
environment 1
equation 2
escape 1
failing 1
find 1
frequent 1
from 2
group 1
harmony 1
human 1
in 2
is 4
it 1
itself 1
laylora 1
left 1
legends 1
live 1
more 1
native 1
natural 1
objects 1
of 3
on 1
onceperfect 1
only 1
paradise 2
peaceloving 1
people 2
perfect 1
planet 5
pod 1
realises 1
repair 1
rez 1
rose 1
scientists 1
shot 1
showing 1
signal 1
signs 1
supposedly 1
that 2
the 10
their 1
to 4
try 1
unbalanced 1
visit 1
was 1
were 1
when 2
where 1
who 1
with 1
world 1
years 1
