14293841
/m/03c_njc
/m/03c_njc
Richard Adams
1980-04-12
a 7
about 1
accepts 1
acquaintance 1
adolescence 1
after 2
alan 3
american 1
an 1
and 6
any 1
appears 1
as 2
awkward 1
background 1
beautiful 1
begin 1
building 1
business 1
captivate 1
catastrophic 1
ceramics 1
ceremony 1
circle 1
civil 1
clerical 1
colleagues 1
collector 1
condition 1
continuing 1
copenhagen 1
courtship 1
days 1
dealer 1
desland 1
despite 1
does 1
editions 1
end 1
england 1
englishman 1
entire 1
europe 1
event 1
falls 1
family 2
fine 1
florida 1
for 1
friends 1
from 1
gainesville 1
gone 1
has 1
have 1
he 2
headlong 1
her 4
him 3
his 2
home 1
honeymoon 1
however 1
in 6
infatuated 1
interest 1
intervention 1
inviting 1
is 1
karin 1
knowing 1
kthe 1
latent 1
living 1
love 1
makes 1
marriage 2
mostly 1
mutually 1
mysterious 1
named 1
near 1
no 1
nothing 1
of 6
on 2
one 1
or 3
overwhelms 1
own 1
place 2
playful 1
pottery 1
proposes 1
psychic 1
relatives 1
return 1
revelation 1
run 1
senses 1
sensuality 1
she 1
shop 1
should 1
since 1
social 1
socially 1
some 1
something 1
states 1
take 1
taking 1
ten 1
thanks 1
that 2
the 4
their 4
to 8
tragedy 1
trip 1
united 1
up 2
warn 1
wedding 1
who 2
with 1
woman 1
work 1
wrong 1
young 1
