10601195
/m/02qjx52
/m/02qjx52
Poul Anderson
1973
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 16
abbreviate 1
about 1
abroad 1
adherent 1
adhil 1
adhils 3
adulthood 1
adventure 1
after 4
along 1
an 4
and 22
anderson 1
anglosaxon 1
animosity 1
are 2
army 2
as 4
assembles 1
at 2
attain 1
attaining 1
attempting 1
author 1
avenge 2
avoid 1
back 2
band 1
battle 3
be 1
becomes 3
becoming 1
been 3
befriended 1
being 2
besieging 1
best 1
bjarkaml 1
bjarki 2
bodvar 2
brother 2
brothers 1
brought 1
builds 1
but 3
by 8
can 1
champions 2
chanting 1
come 1
comes 1
consequence 1
court 2
danes 1
danish 1
daughter 1
death 2
defenders 1
delay 1
denmark 2
destroy 1
development 1
does 3
during 1
elkfrodhi 2
eluding 1
encounters 1
end 1
equally 1
escape 2
event 1
eventually 2
fall 1
famous 3
fate 1
father 2
feeling 1
feigning 1
female 1
field 1
fight 2
for 2
frodhi 2
from 2
fullest 1
fyrisvellir 1
giver 1
go 1
god 1
goes 2
ground 1
had 2
halfdan 2
halfelven 1
halfsister 1
hall 1
has 3
haunted 1
have 3
he 5
helgi 5
henceforth 1
her 5
herself 1
hiding 1
him 2
his 15
hjalti 1
hjorvard 2
home 1
hospitality 1
houndsfoot 2
household 1
hroar 3
hrolf 11
husband 1
if 1
in 10
incident 1
inciting 1
instrument 1
into 2
is 6
it 3
its 1
killed 2
killer 1
king 3
kingship 1
kinsman 1
knowing 1
largely 1
last 1
later 3
least 1
leaves 1
led 1
left 1
legend 2
length 1
lie 1
likely 1
long 2
lost 1
luck 1
managed 1
married 1
marries 1
most 1
mother 2
murdered 1
must 1
norse 2
not 1
notable 1
notably 1
odin 1
of 19
offend 1
old 1
on 3
one 2
only 1
open 1
origins 1
others 1
out 1
overbearingly 1
overthrown 1
packing 1
parentage 1
part 2
partial 1
personal 1
pieces 1
poem 1
position 1
presented 1
presents 1
prevails 1
prosperity 1
prowess 1
pulled 1
pursued 1
queen 1
raise 1
raised 1
rallied 1
rapes 1
reach 1
reached 1
realm 2
recompense 1
reconstruction 1
reign 1
relate 1
related 1
remarkable 1
remote 1
resulting 1
returns 2
reveal 1
revolt 1
rigged 1
rise 1
roused 1
rule 1
saxons 1
scatter 1
searover 1
secretly 1
see 1
sent 1
skuld 3
sleep 1
son 1
sons 1
soon 1
sowing 1
story 3
storyteller 1
stronghold 1
subkings 1
successful 1
successfully 2
successor 1
such 1
suddenly 1
supporter 1
supposedly 1
swedes 2
sworn 1
take 1
taking 1
tales 1
teller 1
terrible 1
tests 1
that 2
the 29
their 4
them 2
themselves 1
these 1
they 5
this 3
thorir 2
through 2
time 1
to 16
together 2
treacherous 1
treachery 2
treasure 2
trio 1
ultimately 1
union 1
until 1
unwanted 1
up 1
usurped 1
valiantly 1
vengeance 2
victory 1
visitors 1
visits 2
vogg 1
war 2
warlike 1
warns 1
warrior 1
warriors 2
way 1
weakling 1
wed 2
werebear 1
when 1
while 1
who 2
whom 1
whose 1
win 1
witch 1
witchcraft 1
with 1
woos 1
would 3
years 1
young 1
yrsa 5
