14546116
/m/03d7b6s
/m/03d7b6s
Michael Moorcock
1978
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
13year 1
a 1
against 1
albion 3
and 9
army 1
as 1
behind 1
best 1
but 2
captain 1
caught 1
champion 1
chancellor 1
claims 1
commit 1
concerns 1
contest 1
corruption 1
court 4
courtiers 1
courtly 1
deceit 1
doing 1
each 1
ends 1
entertain 1
espionage 1
evidence 1
exits 1
exploits 1
family 1
feels 1
few 1
finally 1
for 2
free 1
frustrated 1
gloriana 6
goes 1
has 2
he 5
henchman 1
henchmen 1
her 3
hern 2
him 1
his 5
in 3
influence 1
informants 1
insulted 1
into 3
is 3
keep 1
killed 1
king 2
later 1
leave 1
life 1
lord 2
loverthreatening 1
maintained 1
make 1
man 1
middle 1
montfallcon 4
most 1
murders 1
muster 1
network 2
novel 1
of 9
on 1
one 1
oppression 1
other 1
own 2
peace 1
personal 1
place 1
plot 1
points 1
power 1
practices 1
purpose 1
quire 4
rabble 1
reign 1
repeats 1
revenge 1
role 1
saw 1
seducing 1
seeks 1
shadowy 1
so 1
sole 1
sorties 1
sovereign 1
spy 1
survivors 1
symbol 1
terror 1
that 2
the 12
there 1
throne 1
through 1
throughout 1
to 7
tyranny 1
tyrant 1
ultimately 1
using 1
walls 2
when 1
where 1
with 1
worst 1
