2025527
/m/06g0lc
/m/06g0lc
Raymond Chandler
1949
100 1
a 33
able 1
about 5
address 1
affair 1
agent 4
agrees 1
aircraft 1
all 1
along 1
already 1
also 3
although 1
an 6
and 33
angeles 2
another 2
apartment 5
appears 1
are 1
arent 1
arrive 2
arrives 1
arsenic 1
as 12
asks 1
assumes 1
at 5
attorney 1
back 1
bald 1
based 1
bathroom 1
bay 5
be 3
bed 1
been 3
before 3
being 1
believe 1
bit 1
blackmail 1
blonde 1
body 1
both 1
breaks 1
brother 4
brown 1
building 3
but 15
by 5
cagey 1
caliber 1
call 3
calls 3
calwestern 1
camera 1
can 1
cant 1
career 1
carrying 1
case 3
casual 1
chandler 2
check 3
cigarette 1
city 5
claim 3
claims 1
client 1
closely 1
come 4
comes 3
committed 1
company 1
complete 2
concern 1
confesses 2
confirms 1
confronts 3
contact 1
containers 1
convinces 1
could 2
counting 1
covered 1
cracks 1
crime 1
crimes 1
currently 1
danger 1
dead 4
death 1
dejectedly 1
deliberately 1
describes 1
description 1
destroyed 1
destroying 1
detective 1
died 1
disarms 1
disarray 1
doctor 3
does 1
doesnt 1
dolores 1
dont 1
drives 1
drunk 1
during 1
dust 1
dying 1
each 1
earlier 1
easy 1
eating 1
emerges 1
engineer 1
engineered 1
enters 1
epitome 1
eventually 1
ever 1
examines 1
exchange 1
explanation 1
face 2
fact 2
far 1
fed 1
feel 1
feels 1
fictional 1
fight 1
film 1
finally 1
find 2
finding 1
finds 6
firm 1
first 3
fixed 1
flirts 1
for 9
foreshadows 1
from 8
gangster 3
get 1
gets 1
getting 1
girl 2
giving 1
glasses 1
go 2
goes 2
gonzales 6
gun 5
had 1
hair 1
half 1
hand 1
hard 1
has 6
have 3
having 2
he 39
head 1
heading 1
help 2
her 26
herself 1
highpowered 1
hills 1
him 9
himself 1
hinting 1
hires 1
his 16
hold 1
hollywood 1
home 3
hotel 5
however 1
ice 3
if 1
immediately 1
in 24
indeed 1
information 1
initial 1
innocent 1
into 1
investigations 1
is 24
it 3
jail 1
jealous 1
kansas 1
keep 1
keeps 1
kill 1
killed 2
killer 1
killing 1
kind 1
knew 1
knocked 1
knocks 1
know 1
known 1
laced 1
lady 1
lagardie 6
last 3
laughs 1
learns 1
leave 2
leaves 2
less 1
let 3
life 1
like 1
living 1
looked 1
looking 1
los 2
love 4
lying 1
macbeth 1
made 1
makes 2
man 7
manhattan 1
many 1
marlowe 40
mavis 10
may 2
meet 2
meets 1
met 1
minor 2
missed 1
missing 1
modeled 1
money 3
monica 1
months 1
more 2
mother 1
motive 2
mousy 1
movie 1
ms 12
murder 2
murders 1
must 2
name 1
named 2
nearby 1
neat 1
neck 2
news 1
nobody 1
not 5
notices 2
notifies 1
notifying 1
novels 1
now 2
obvious 1
obviously 1
of 14
off 1
offer 1
offers 1
office 4
old 1
older 1
on 6
one 3
only 1
opened 1
opens 1
optometrist 6
orfamay 9
organized 1
orrin 13
other 1
ounce 1
out 7
owes 1
passed 1
passionate 1
philip 1
phones 2
photos 3
pick 3
plans 1
player 1
police 11
possible 1
practices 1
presents 1
previous 1
primly 1
prissylooking 1
promising 1
prospects 2
pulling 1
quest 1
rather 3
ready 1
real 1
realize 4
realizes 7
recent 1
recently 1
remembers 1
removes 1
report 1
reports 1
reputed 1
retired 4
retrieves 1
returns 1
revenge 1
rimless 1
rob 1
room 7
rough 1
same 1
santa 1
satisfied 1
say 1
says 2
scare 1
scene 2
search 2
searched 1
see 3
seedy 1
seem 1
seems 5
senses 1
sent 1
set 1
sex 1
sexladen 1
shady 1
she 10
shielded 1
shop 1
shot 2
sincere 1
sister 2
slipped 1
small 4
smooth 1
so 2
someone 1
something 1
spot 1
stab 1
stabbed 1
stands 1
star 3
stardom 1
starts 1
steelgrave 8
still 1
stopped 1
story 1
straps 1
strength 1
strings 1
supervisor 5
supporting 1
survey 1
surveys 1
suspicion 1
taken 1
takes 1
talk 1
talks 1
tells 1
that 26
the 68
their 1
them 2
then 3
there 4
they 7
think 1
thinks 1
this 1
thread 1
threatened 1
through 1
throws 1
thugs 1
time 3
to 46
took 1
touch 1
tough 1
toupee 3
towel 1
town 2
trade 1
trades 1
trap 1
tries 4
true 1
truth 2
truths 1
try 2
trying 1
turn 1
two 1
unconscious 2
unidentified 1
up 3
uses 1
very 2
victim 1
visited 1
visits 1
was 7
wears 1
weld 14
were 2
what 1
whatever 1
when 6
which 2
who 9
wise 1
wisecracks 1
wishing 1
with 21
without 1
woman 1
work 1
working 1
wrapped 1
writing 1
yet 1
