7401456
/m/0260l7d
/m/0260l7d
Rose Tremain
1989
1666 1
a 9
abandons 1
advances 1
affair 1
after 2
all 2
allows 1
also 1
ambitious 1
an 4
and 12
appointed 1
arranges 1
at 3
baby 1
barbara 1
be 2
bedlam 3
best 1
between 1
bidnold 5
both 1
burning 1
but 1
by 3
can 1
castlemaine 1
celia 3
change 1
charles 2
childbirth 1
clemence 1
coincides 1
condemned 1
confiscates 1
confused 1
continues 1
convenience 1
court 1
daughter 1
death 1
debauchery 1
dies 1
displeasing 1
dissipated 1
dogs 2
done 1
drunkenly 1
during 2
earlier 1
elderly 1
elias 2
end 1
ending 1
estate 2
expelled 1
experiencing 1
favour 2
fictitious 1
finn 2
fire 1
fool 1
for 1
friend 1
from 3
girl 1
given 1
go 1
great 2
has 3
he 7
help 1
her 4
him 3
his 4
hoping 1
hospital 4
house 2
however 1
ii 1
ill 1
in 13
installed 1
intentions 1
is 13
it 2
john 1
joins 3
katharine 3
kew 1
king 12
life 1
lifestyle 1
live 1
lives 1
london 4
makes 2
marriage 1
medical 1
medicine 2
member 1
mentally 1
merivel 10
mistress 1
mistresses 1
mother 1
named 3
new 2
night 1
norfolk 3
not 1
novel 4
now 1
occurs 1
of 18
old 1
one 3
other 1
painter 1
painting 1
parts 1
patient 1
pearce 4
period 1
physician 1
plague 1
practice 1
practising 1
pregnant 1
promptly 1
purely 1
quakers 1
real 1
recovery 1
rediscover 1
refers 1
regains 1
reported 1
rescues 1
restoration 1
result 1
returns 1
robert 1
run 1
secretly 1
sent 1
should 1
sinfulness 1
start 1
story 1
student 1
supervising 1
surgeon 1
take 1
tells 1
that 1
the 35
then 4
things 2
this 4
title 1
to 13
travels 1
tries 1
up 1
visit 1
vocation 1
when 3
where 1
which 4
whom 1
with 8
woman 1
wrong 1
