946564
/m/03sbqr
/m/03sbqr
Pat Frank

a 5
adam 2
after 2
all 1
an 1
and 1
appear 1
are 1
baby 1
become 1
boys 1
caused 1
child 1
delivers 1
discovered 1
doctor 1
during 1
earth 2
even 1
explodes 1
explosion 2
extinction 1
father 1
form 1
girl 1
has 2
healthy 1
hope 1
however 1
humanity 1
in 2
inside 2
is 2
it 3
lead 1
men 1
mile 1
mine 1
mississippi 2
months 1
more 1
mother 1
mr 1
nuclear 1
of 2
off 1
old 1
on 1
only 1
perfectly 1
plant 1
power 1
previously 1
radiation 2
realized 1
released 1
silver 1
soon 2
stave 1
sterile 1
still 1
surface 1
surname 1
ten 1
than 1
that 4
the 7
this 1
to 2
under 1
unknown 1
was 1
who 1
womb 1
would 1
