4040714
/m/0bf07d
/m/0bf07d
Daniel Quinn
2000
{"/m/05h83": "Non-fiction"}
141 1
160s 1
177 1
a 24
abbey 1
about 2
actually 1
advocacy 1
after 2
age 1
alien 1
all 1
also 1
always 1
amazing 1
an 5
and 13
animals 3
animism 1
animist 1
another 2
any 2
appearance 1
approval 1
are 1
arts 1
as 6
ask 1
asserts 1
assumed 1
at 7
atheist 1
attention 1
attributed 1
attributes 1
automatically 1
awakes 1
award 3
awestriking 1
back 2
basic 1
be 5
beauty 1
became 2
because 4
becoming 1
been 2
beetle 2
before 1
began 3
begins 1
behaviors 2
belief 1
believed 1
blocking 1
book 3
briefly 1
but 3
by 10
called 2
came 1
can 1
catholicism 1
centeredness 1
childhood 1
children 2
choice 1
claimed 1
community 2
complete 1
completely 1
concludes 1
considers 1
contemplation 1
continued 2
convinced 1
could 1
courage 1
crawls 1
creative 1
crumble 1
crushed 1
culture 1
current 2
damned 1
date 1
day 1
decided 1
decision 1
deer 1
deliberately 1
delivers 1
depressionera 1
describes 1
describing 1
desire 1
desperately 1
details 1
devote 1
did 2
director 1
discharged 1
discontents 1
dismissal 1
disregard 1
do 1
dogma 1
down 1
downed 1
dream 2
dumbfounded 1
during 1
each 1
earliest 1
education 2
educational 2
either 1
else 1
emotion 1
entire 2
entitled 1
epiphany 1
evidence 1
examines 1
expected 1
experience 1
experienced 1
explains 1
explosive 1
expulsion 1
fact 1
failure 1
fake 1
father 2
feel 2
feeling 1
feels 3
fellow 1
fellowship 1
fiction 1
finally 1
first 2
five 1
flower 1
follow 1
following 1
followup 1
for 8
forest 1
forgotten 1
formal 1
fought 1
friends 1
from 3
front 1
full 1
future 1
gambling 1
gave 1
genesis 1
get 2
gethsemani 2
global 1
god 4
going 1
got 1
greatly 1
greet 1
guidance 1
habits 1
habitually 1
had 2
happening 1
has 1
have 1
having 1
he 26
heard 1
him 9
himself 4
his 31
history 1
homosexual 1
how 1
however 2
human 1
humanity 1
idea 1
idly 1
in 20
inability 1
incarnation 1
incarnations 1
including 2
incredulous 1
indoors 1
influenced 2
infused 1
innate 1
insight 1
instigated 1
institution 1
institutions 1
interdependence 1
interest 1
interests 1
interpreted 1
into 3
involving 1
is 8
ishmael 3
it 1
its 2
itself 1
job 1
joy 2
just 1
kentucky 1
knowing 1
lack 1
lansky 1
largely 2
last 1
later 1
learn 1
learning 1
leave 1
led 1
left 3
life 3
lifelong 1
like 2
list 1
lives 1
longbrewing 1
louis 1
made 1
making 1
man 2
manuscript 1
many 2
marriage 1
married 1
may 1
meaning 1
members 1
memories 1
memory 1
mentions 1
merely 1
merton 4
mertons 1
meyer 1
middle 1
miscommunication 1
moment 4
monastery 4
monk 1
more 3
most 1
mother 1
mountain 1
movement 1
nahash 1
nebraska 1
need 4
needed 5
needy 1
newfound 1
next 2
nineteen 1
none 1
not 3
notably 1
novel 1
novice 1
now 2
obsessivecompulsive 1
occurrence 1
of 41
omaha 1
on 3
one 1
onetime 1
or 3
order 1
other 1
others 2
out 1
outside 1
over 1
own 4
parents 2
people 3
perfect 2
perfection 1
perfectmdashmerely 1
personal 1
personality 1
positive 1
postulant 1
priest 1
prior 1
problems 1
psychoanalyst 1
psychotherapy 1
public 1
published 1
publishing 1
pursuing 1
questioning 1
quinn 28
quinns 6
rage 2
reaction 1
reader 1
realize 1
realized 1
reason 2
received 1
recent 3
recommended 1
recounts 1
refers 1
refreshing 1
reiterating 1
relationship 1
relationships 1
religion 3
religious 1
rennie 1
required 1
rest 2
resulting 1
results 1
revised 1
revisits 1
rigidlystructured 1
rise 1
road 1
rorschach 1
rules 1
sacred 1
says 1
scholarship 1
schools 1
second 1
secret 1
see 1
selfdestructive 1
serious 1
seven 1
several 1
severe 1
sexuality 1
she 1
should 2
since 2
situations 1
social 2
societies 1
solutions 1
some 1
soon 2
specifically 1
spiritual 1
st 1
states 1
stepped 1
stop 1
storey 1
story 1
strength 1
struggle 1
studied 1
submission 1
submit 2
successfully 1
sudden 1
suddenly 1
summoning 1
system 1
talk 1
talked 1
technique 1
tell 1
tells 1
tendencies 1
terms 1
test 1
text 1
than 1
that 13
the 55
their 5
themes 1
then 3
therapist 1
therapy 1
thinking 1
this 7
thomas 1
those 1
though 3
thought 2
thoughts 1
three 1
time 5
to 43
told 1
tomorrow 1
toward 1
transcript 1
translate 1
trappist 1
traversing 1
tree 2
tribal 1
trick 1
troublesome 1
trunk 1
try 2
turner 1
two 2
unable 1
unachievable 1
understand 3
understanding 1
understating 1
unexpected 1
united 1
university 1
unnecessary 1
unready 1
unsure 1
until 1
utter 1
valuable 1
valueless 1
venture 1
was 11
weeks 1
went 1
what 2
when 2
which 7
while 1
who 5
whole 1
wife 1
will 1
willing 1
win 1
with 14
woman 1
won 1
work 1
world 2
worldview 1
worry 1
worth 1
write 1
writing 1
years 2
