26038254
/m/0ds1212
/m/0ds1212
Buchi Emecheta
1979

20 1
a 28
abroad 1
accompany 1
according 1
after 4
afterlife 1
afterwards 1
agbadi 5
agree 1
agunwa 2
aims 1
all 5
also 1
although 1
amatokwu 1
an 1
and 17
angrily 1
angry 1
animal 1
annoyance 1
another 3
appealing 1
are 2
army 1
aroung 1
as 1
ask 1
at 1
attractive 1
baby 2
back 1
badly 1
bags 1
barren 1
be 1
beautiful 1
became 1
because 1
becomes 2
been 1
before 1
begs 1
being 1
belly 1
beside 1
better 1
birth 3
blow 2
born 1
boy 1
burial 3
bush 1
but 7
by 1
called 1
can 1
chi 1
chief 3
child 3
children 5
coffin 1
come 2
comforts 1
completed 1
conceives 1
consults 1
continue 1
cowries 1
creature 1
cries 1
custom 1
cutlass 2
daughter 1
day 1
days 2
dead 1
death 2
decent 1
delivers 1
deserve 1
died 2
dies 3
does 3
dont 1
drafted 1
draws 1
during 3
ego 5
eighteen 1
eldest 2
elephant 1
ensures 1
even 1
everything 1
everywhere 1
falls 1
father 1
fathers 1
festivities 1
final 1
find 1
finds 3
floor 1
for 2
forever 1
four 1
friends 1
fruitfulness 1
funeral 1
girl 1
give 3
given 3
gives 4
goddess 1
gone 1
good 2
grave 4
greatest 1
grew 1
handsome 1
hapless 1
has 6
have 4
having 2
he 12
head 4
heavy 1
her 30
herbalists 1
him 5
his 4
home 1
house 1
hunting 1
husband 4
if 1
ill 2
in 7
into 6
is 23
it 6
jewel 2
jokingly 1
joy 1
jump 1
jumping 1
kills 1
labour 1
later 2
laundryman 1
life 3
like 2
local 1
lonely 1
long 1
love 1
made 1
man 1
many 1
mark 1
married 1
men 2
mighty 2
mistress 1
months 1
more 1
mother 2
much 1
my 1
name 1
named 2
near 1
nearby 1
neck 1
need 1
never 1
new 1
nnu 5
no 1
not 4
nwokocha 2
occurred 1
of 11
offspring 1
on 4
ona 7
one 2
oracle 1
ornament 1
out 4
own 1
owner 1
pass 1
passes 1
perhaps 1
period 1
personal 1
pinned 1
placed 1
position 1
prays 1
pregnant 1
premature 1
priceless 2
proud 1
pushed 1
put 1
rainy 1
relative 1
resembling 1
result 1
returns 1
reveals 1
river 1
say 2
saying 2
season 1
seeing 1
seems 1
sending 1
several 3
sex 1
shallow 1
sharp 1
she 20
shocked 1
sign 1
silenced 1
slave 6
so 2
son 3
sorry 1
spear 1
still 1
stories 1
struggles 1
study 1
subsequently 1
sugarcane 1
supposed 1
takes 1
that 10
the 30
their 1
them 1
they 2
this 4
thought 1
through 1
thrown 1
time 1
to 20
told 1
too 1
took 1
town 1
tusk 1
two 1
unable 1
until 1
up 2
used 1
verge 1
very 1
villager 1
wakes 1
wartime 1
was 3
wealthy 1
wear 1
week 1
went 1
were 1
when 5
white 1
who 2
whom 2
whose 1
why 1
wicked 1
wife 2
will 3
willingly 1
with 7
wives 1
woman 5
would 2
wounded 1
you 1
young 2
your 1
