12902858
/m/02xb_01
/m/02xb_01
Michael Connelly
2004-04-30
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 6
accepts 1
accidental 1
additional 1
agent 1
aka 1
also 2
an 1
and 9
angeles 1
apart 1
are 1
as 5
at 2
backus 5
barely 1
be 1
been 2
begins 2
between 1
black 1
book 1
bosch 9
both 1
bring 1
brings 1
burden 1
but 1
by 3
cassie 1
channels 1
character 1
chasing 1
chief 1
children 1
closers 1
commentary 1
concrete 1
confirmed 1
contact 1
crippling 1
cutting 1
dakota 1
dead 2
death 4
deeper 1
department 1
detective 1
did 1
digging 1
discovered 1
discovers 1
division 1
do 1
drowns 1
end 2
eventually 1
exfbi 2
exiled 1
expense 1
fact 1
failing 1
falls 1
fbi 7
firstperson 1
follows 1
for 2
forces 1
four 1
from 3
had 5
has 1
have 1
he 6
heart 1
her 1
him 3
himself 1
his 6
homicide 1
however 1
in 9
information 1
into 2
investigating 1
investigation 2
is 2
itil 1
join 1
justice 1
killed 1
killer 1
kiz 1
la 1
lapd 1
las 1
later 1
lead 1
learns 1
look 1
los 1
main 2
make 1
manner 1
may 1
mccaleb 5
meanwhile 1
medical 1
meets 1
merely 1
messages 1
moon 1
murdered 1
neighbor 1
new 1
not 1
nothing 1
notorious 1
novel 1
of 8
offer 1
old 1
one 1
openunsolved 1
opposed 1
outsiders 1
partner 1
perspectives 1
poet 4
poeta 1
points 1
police 1
presumed 2
procedures 1
profiler 1
protg 1
rachel 1
rejoin 1
relationship 2
request 1
rider 1
river 1
robberyhomicide 1
robert 1
role 1
sent 1
serial 1
shifts 1
south 1
subject 1
supervisor 1
survives 1
suspect 1
svfllan 1
swollen 1
terry 1
that 4
the 27
they 1
thirdperson 1
this 1
time 2
to 13
tornato 1
transplant 1
under 1
unit 1
vegas 1
view 1
void 1
walling 6
want 1
was 3
when 1
where 2
while 2
who 2
whom 1
wife 2
with 4
withheld 1
within 1
years 1
