297239
/m/02x_2n
/m/02x_2n
Joseph Campbell

{"/m/05qfh": "Psychology", "/m/02xlf": "Fiction", "/m/037mh8": "Philosophy", "/m/06ms6": "Sociology"}
140s 1
150s 1
a 16
academic 1
accepts 1
achieve 1
acquired 1
adventure 1
adventures 1
all 2
alone 1
along 3
although 1
an 1
analysis 1
and 13
application 1
archetypes 1
arnold 1
around 1
artists 1
as 1
assistance 1
at 1
basic 2
be 2
boon 4
buddha 1
by 2
call 3
called 2
campbell 9
categories 1
century 1
challenge 1
challenges 1
christ 1
cites 1
classic 2
concepts 2
contain 3
cultures 1
deal 1
deals 3
decide 1
departure 2
describes 1
different 1
discovery 1
discussion 1
division 1
earned 1
enter 2
events 1
examples 1
explores 1
face 2
faces 1
facing 1
few 2
focus 1
for 2
forces 1
forms 1
forth 1
freudian 1
from 3
fundamental 1
gennep 1
gift 2
goal 1
great 1
have 4
help 1
hero 14
home 1
however 1
if 3
illumination 1
important 2
improve 1
in 8
include 1
including 1
influences 1
initiation 2
insights 1
intellectuals 1
intense 1
into 1
introduction 1
is 2
its 1
journey 6
jungian 1
knowledge 1
laying 1
many 3
may 7
mid20th 1
mixture 1
monomyth 4
monomythic 1
moses 1
most 1
must 3
myths 6
not 2
number 2
of 18
offers 1
often 3
on 3
one 1
only 2
or 4
order 1
ordinary 2
organized 1
osiris 1
other 3
others 1
out 1
passage 1
pattern 1
popular 1
powers 2
prometheus 1
provide 1
quest 1
quote 1
receives 1
relied 1
rely 1
results 1
return 6
returning 1
rites 1
rituals 1
road 1
scholars 1
sections 1
selfknowledge 1
separation 1
severe 1
share 1
similarly 1
some 2
sometimes 1
somewhat 1
stages 5
stagessome 1
starts 1
steps 1
stories 1
strange 2
structure 3
structuring 1
successful 1
suggesting 1
summarized 1
survive 1
survived 1
survives 1
tasks 1
that 1
the 45
then 1
theory 1
these 4
this 5
thousand 1
thousands 1
three 1
tied 2
to 11
trials 3
unconscious 1
unusual 1
upon 2
used 1
usefulness 1
uses 1
using 1
van 1
various 1
venturing 1
very 1
way 1
ways 1
wellknown 1
whether 1
which 4
while 3
with 8
world 6
worldwide 1
years 1
