1501468
/m/056b3g
/m/056b3g
Alexandra Gray
2005-01-13
{"/m/05hgj": "Novel"}
18 1
38 1
a 16
about 1
accordingly 1
actress 1
affair 1
affairs 1
after 2
again 2
aged 1
always 1
an 3
and 6
apartment 1
are 2
as 4
at 4
back 1
become 1
believe 1
billionaire 2
boarding 1
born 1
boys 1
brought 1
by 1
capitalist 1
caroline 1
carrie 1
catholic 1
clings 1
college 1
commercials 1
conditioned 1
day 1
death 1
dependent 1
deserts 1
does 1
dreiser 1
early 1
earn 1
east 1
education 1
elsewhere 1
embarks 1
end 1
england 1
eventually 1
ever 1
exclusive 1
exhusband 1
expensive 1
father 2
few 1
financially 1
find 1
first 1
for 3
forced 1
french 1
future 1
get 1
gets 1
going 1
graduation 1
has 1
having 1
he 3
her 14
heroine 1
him 1
honest 1
hoping 1
husband 1
in 7
indecisive 1
inexperienced 1
interested 1
into 1
is 9
it 2
job 1
jobs 1
kind 1
lawyer 1
leads 1
life 1
literally 1
living 1
london 1
longterm 1
lord 1
man 1
marriage 1
married 1
meeber 1
meets 2
men 2
mid160s 1
might 1
miscarriage 1
mother 1
moves 1
new 1
night 1
not 3
novel 1
of 4
on 3
only 1
out 1
particular 1
parting 1
partner 1
pay 1
pregnancy 1
premarital 1
premature 1
prepared 1
present 1
privacy 1
protagonist 3
qualifications 1
relationship 1
rely 1
remote 1
school 1
series 1
seven 1
sex 1
sexually 1
she 8
side 1
similar 1
sin 1
single 1
sister 2
some 1
still 1
stripped 1
subsequent 1
take 1
teacher 1
that 2
the 11
their 1
through 1
to 10
trained 1
tv 1
university 1
up 1
upper 1
very 1
virgin 1
volunteers 1
ways 1
wealthy 1
well 1
when 3
who 5
will 1
with 4
work 1
works 1
york 1
youthful 1
