102516
/m/0pygz
/m/0pygz
Isaac Asimov
1989-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 10
allowing 1
also 1
an 1
and 8
argue 1
around 1
as 1
asimov 1
asteroid 1
at 1
back 1
bacterial 2
becomes 1
before 1
being 1
belts 1
breakup 1
called 1
catch 1
collective 1
collectively 1
colonists 1
colonization 1
colony 3
concept 1
consciousness 1
constitute 1
crisis 1
daughter 1
departed 1
destabilize 1
direction 1
discovered 3
discoverer 1
discovery 2
down 1
dwarf 1
earth 2
earthbound 1
ending 1
era 1
erythro 4
events 1
eventually 1
exploration 1
falls 1
family 1
father 2
flight 1
for 1
form 1
forms 1
foundation 1
from 2
future 1
gaia 1
galaxy 1
gravitationally 1
human 1
hyperassistance 1
hyperjump 1
in 3
inhabitants 1
interstellar 1
is 5
isolation 1
it 3
life 1
light 2
little 1
massive 1
moon 1
mother 1
move 1
named 1
nemesis 4
newly 1
novel 2
of 12
on 3
opening 2
or 1
orbit 1
organism 2
over 1
part 1
perfected 2
possesses 1
process 1
project 1
reclusive 1
red 2
relates 1
research 1
resolution 1
result 1
reunion 1
rotor 2
semihabitable 1
sentient 1
separated 1
series 1
set 1
similar 1
slower 1
solar 1
space 1
speed 1
startling 1
station 1
story 1
superluminal 1
system 2
takes 1
technology 1
telepathic 1
telepathy 1
than 1
that 4
the 27
them 1
there 1
threatens 1
to 8
trajectory 1
travel 2
up 3
used 1
vicinity 1
were 1
when 1
which 1
while 1
