1219913
/m/04jhf6
/m/04jhf6
Maya Angelou
1969
a 14
abandoned 1
abandonment 1
abused 1
accepting 1
adulthood 1
advice 1
after 2
age 1
alone 1
although 1
an 1
and 16
appears 1
are 3
aristocrat 1
arkansas 1
as 1
at 4
attends 1
audience 1
baggage 1
bailey 3
be 1
because 1
becomes 2
before 1
begins 1
being 2
bertha 1
bin 1
bird 1
birth 1
black 5
book 4
books 1
boy 1
boyfriend 1
broadcast 1
brother 4
but 4
by 8
caged 1
california 3
called 1
car 1
ceremony 1
championship 1
changed 1
childhood 1
children 2
coaxes 1
community 2
conductor 1
crippled 1
dance 1
dangers 1
decides 1
dentist 1
departs 1
depression 1
development 1
disparages 1
drama 1
drives 1
during 3
early 1
eighth 2
eightyearold 1
employer 1
encounters 1
encourage 1
end 1
endure 1
enjoys 1
equates 1
escapes 1
even 2
everyone 1
example 1
excursion 1
experiences 2
faces 1
family 2
father 4
feel 1
feels 1
female 1
fight 2
final 1
first 2
flowers 1
follows 1
for 3
found 1
francisco 2
freeman 1
from 8
general 1
generally 1
george 1
girlfriend 1
girls 1
gives 1
grade 1
graduate 1
graduating 1
graduation 1
grandchildren 1
grandmother 1
guilty 2
had 1
hair 1
has 2
hassle 1
haunted 1
have 1
he 3
heart 1
heavy 1
her 23
hermaphrodite 1
hides 2
high 4
him 4
home 1
homelessness 1
humiliating 1
i 1
in 15
incident 1
initiates 1
insult 1
intercourse 1
intoxicated 1
is 4
jail 1
job 1
joe 1
journey 1
klan 1
klux 1
know 1
ku 1
labeled 1
labor 1
later 1
leaves 1
lesbian 1
life 1
like 1
limited 1
listen 1
live 1
loaned 1
louis 2
love 1
many 1
marguerite 1
mary 1
maya 17
meets 1
mexico 1
might 1
missouri 1
moment 1
momma 6
money 1
month 1
mother 4
mr 1
mrs 1
murdered 1
must 1
mute 1
my 1
name 1
nearly 1
neighbors 1
newborn 1
occurs 1
of 19
older 1
on 2
one 2
opportunities 1
oppression 1
or 1
order 1
out 1
overt 1
owns 1
parents 2
particularly 1
paternal 1
pivotal 1
point 1
powhitetrash 1
pregnancy 1
pregnant 1
presumably 1
problems 1
protect 2
pubic 1
racial 1
racism 3
racist 2
radio 1
raiders 1
raped 1
reading 1
reclusive 1
refuses 1
relatively 1
relentlessly 1
remains 1
reminds 1
returning 1
reveals 1
role 1
rotting 1
san 2
scholarship 1
school 5
send 1
sent 1
seventeen 1
sexual 1
sexually 1
she 13
shell 1
short 1
sings 1
some 1
son 1
southern 2
speaker 1
st 1
stamps 7
states 1
stem 1
still 1
store 1
streetcar 1
struggles 1
studies 1
suggesting 1
summer 1
supplies 1
takes 1
teenage 1
that 3
the 28
their 6
them 2
these 1
they 4
this 1
three 1
throughout 1
time 3
to 18
tooth 1
town 1
transport 1
travel 1
treat 1
trial 1
turning 1
two 1
uncle 3
uncles 1
unexpectedly 1
united 1
until 2
vegetable 1
victory 1
visits 1
washington 1
wealthy 1
weight 1
when 5
which 1
while 1
white 4
who 1
why 1
willie 2
with 8
withdraws 1
worries 1
year 1
