8469632
/m/0274ldw
/m/0274ldw
Sinclair Lewis
1933
1th 1
20th 1
a 9
abortion 1
affair 1
american 1
an 1
and 7
ann 1
as 4
become 2
becomes 2
bildungsroman 1
both 1
by 1
century 2
charts 1
circle 1
college 1
controversial 1
convention 1
corrupt 1
dull 1
early 1
experiences 1
falls 1
first 2
flouting 1
follows 1
for 1
forties 1
from 1
girl 1
has 3
having 1
her 6
heroine 1
house 1
imprisoned 1
in 8
interested 1
into 1
is 1
it 1
judge 2
late 1
later 1
lead 1
loneliness 1
love 3
loveless 1
man 1
marriage 1
marries 1
middleclass 1
midwest 1
mired 1
modern 1
more 1
new 1
novel 1
of 2
out 1
perhaps 1
phase 1
postgraduate 1
pregnant 2
prison 2
progressive 2
rather 1
reform 1
running 1
school 1
settlement 1
sexual 1
she 5
social 3
son 1
successful 1
suffragist 2
than 1
that 1
the 6
there 1
through 1
to 1
tomboy 1
usual 1
vickers 1
war 1
well 1
with 1
women 1
work 1
worker 1
world 1
york 1
