5524262
/m/0dqwbj
/m/0dqwbj
Gwyneth Jones
2001
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature"}
a 15
adventures 1
again 1
allow 1
almost 1
also 2
an 1
and 16
animals 1
antidote 2
are 4
arnie 7
arrive 1
assistant 1
attack 1
barriers 1
become 1
begins 1
being 2
best 1
between 1
bird 1
boat 1
bodies 1
boy 1
brave 1
by 4
called 1
can 1
cells 1
children 1
chips 1
communicate 1
concerns 1
condition 1
conversations 1
cover 1
covertly 1
crashes 1
creatures 1
cues 1
cure 1
deep 1
desperate 1
disappears 1
discovers 1
dna 1
doses 1
dr 2
dreams 1
eavesdropping 1
ecuador 2
electric 1
ends 1
escape 1
experiments 2
facility 1
fence 1
finds 1
for 2
forest 1
franklin 4
frees 1
from 1
full 1
garson 1
getting 1
girl 1
girls 3
gives 1
happily 1
hart 1
have 2
he 1
help 1
her 4
his 1
home 1
horrified 1
hostage 1
human 2
in 9
instantly 1
into 2
is 7
island 2
it 3
kills 1
last 1
learning 1
lockup 1
mainland 1
manta 1
may 1
mentioning 1
miranda 6
missing 1
narrator 1
net 1
new 1
not 1
now 1
obtaining 1
of 1
on 4
only 1
parents 1
perform 1
plane 1
planted 1
prisoner 1
radio 1
ray 1
recaptured 1
receive 1
reporting 1
research 1
return 2
returned 1
revealed 1
says 1
scientist 1
scientists 1
semi 6
skinner 3
smashes 1
snake 1
some 1
soon 2
specific 1
stand 1
still 2
story 2
survivor 1
taken 1
tell 1
tells 1
that 9
the 24
their 6
them 5
there 1
they 6
this 1
three 1
through 1
to 10
transforms 1
transgenetic 1
transgenic 1
trapped 1
treatment 2
try 1
two 1
voltage 1
way 1
were 1
where 1
who 3
will 3
with 1
without 1
world 1
