6784724
/m/0gnrrq
/m/0gnrrq
Tamora Pierce
1999
a 12
about 1
accept 2
accepted 2
addition 1
after 1
ahead 1
all 1
allmale 1
almost 1
also 1
an 2
and 10
approve 1
as 4
at 2
balm 1
because 1
become 3
becomes 1
been 1
being 2
believe 1
belongings 1
benefactor 1
best 1
book 3
boys 1
bruise 1
bullies 2
bullying 1
by 1
can 1
century 1
changed 1
classes 1
combat 1
continue 1
cope 1
currently 1
dagger 1
day 1
deal 1
defends 1
defied 1
derogatory 1
destruction 1
discrimination 1
does 1
domain 1
encourages 1
enough 1
entering 1
equal 1
equality 1
equallytreated 1
everlurking 1
except 1
faces 1
favour 1
feast 1
female 1
fight 1
fighting 1
find 1
finds 1
first 5
firstyear 2
for 3
forced 1
found 1
friend 1
friends 1
from 4
gender 1
getting 1
gift 1
giftgiver 1
gifts 1
girl 1
going 1
gradually 1
halls 1
has 1
hates 1
have 1
hazing 1
he 1
her 10
herself 2
high 1
higher 1
his 1
history 1
however 1
hurdles 1
hurting 1
in 7
including 1
incredibly 1
into 2
is 9
it 1
joren 1
kel 7
keladry 2
knight 1
known 1
laws 1
leave 1
let 1
like 1
lord 2
make 1
male 1
many 3
master 2
may 1
men 1
midwinter 1
mindelan 1
mountain 1
mysterious 1
neal 1
nealan 1
new 1
not 1
novel 1
of 13
oldest 1
on 4
one 2
openly 1
other 1
others 1
page 4
pages 3
patrolling 1
peers 1
people 1
pierce 1
placed 1
places 1
position 1
powerful 1
presents 1
probation 3
program 1
protector 1
push 1
put 1
quality 1
question 1
ready 1
reality 1
realizing 1
receives 2
royal 1
secret 1
sharpening 1
she 5
small 1
so 1
sponsor 1
started 1
stone 1
tells 1
that 4
the 20
them 2
themselves 1
there 1
this 4
throughout 1
time 2
to 11
tough 1
tradition 1
traditionally 1
train 1
training 3
try 1
trying 1
unaffordable 1
unexpected 1
walls 1
way 1
well 1
were 3
when 2
whenever 1
whether 1
whetstone 1
which 1
while 1
whilst 1
who 2
will 2
with 3
within 1
women 2
writing 1
wyldon 2
year 3
