2391980
/m/078rkf
/m/078rkf
Tatsuya Hamazaki

a 9
able 2
ai 2
albiero 1
albireo 9
also 2
an 5
and 11
angel 1
another 1
appeals 1
appeared 1
approached 1
are 1
area 2
ask 1
assistance 1
attack 1
attempt 2
attempted 1
aura 1
balmung 2
be 2
blackmail 1
boss 1
brought 1
but 2
by 2
chapter 1
character 1
characters 1
chat 1
cheats 1
chose 1
cobalt 2
comas 1
complete 1
considered 1
continue 1
currently 1
declined 1
defeat 2
delete 4
dress 1
due 1
dungeon 1
eciovcyl 1
empty 1
endofdungeon 1
entered 1
escapes 1
etafcyl 1
event 3
existence 1
eyecyl 1
fact 1
failed 1
fails 1
feather 1
feathers 1
fell 1
find 1
finish 1
first 2
for 1
forced 1
form 1
forming 1
fragment 1
fragmented 1
friend 1
from 1
gained 1
gaining 1
gains 1
game 1
girl 1
gives 1
gone 1
hack 1
had 2
he 5
headed 1
help 2
her 8
herself 3
hidden 1
him 3
his 5
hokuto 4
home 1
however 1
impaling 1
in 10
inaccessible 1
infected 1
informs 1
into 5
introduced 1
involuntarily 1
is 3
item 3
its 1
knight 1
knights 1
last 1
later 1
leads 1
letting 1
level 1
life 1
list 1
little 1
location 1
log 1
lowest 1
lycoris 10
manages 1
massive 1
meets 1
memory 1
met 1
mode 1
monster 1
morganna 1
name 1
named 1
newbie 1
none 1
normal 2
of 9
one 2
onto 1
orca 2
order 1
other 1
out 2
party 1
phantom 1
player 1
players 1
previously 1
prologue 2
prototype 1
raecyl 1
realizes 1
red 2
regains 1
request 1
requested 1
resolving 1
restored 1
returning 2
reveals 2
see 1
series 1
she 8
sight 1
sin 2
spear 2
spring 1
team 1
teleports 1
text 1
than 1
that 3
the 24
their 1
them 3
then 2
there 3
they 2
this 3
through 1
to 25
traded 2
trailing 1
treasure 1
tried 1
turned 1
two 1
unable 1
unbeatable 1
unlike 1
upon 2
vagrant 2
voice 1
warning 1
was 7
watarai 3
way 1
we 1
where 1
which 2
who 2
with 1
without 1
witnessed 1
world 1
yromemcyl 1
zone 1
