4439345
/m/0c2gx1
/m/0c2gx1
Jack Vance

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
advocates 1
along 1
already 1
ambitious 1
among 1
an 1
and 6
antigovernment 1
appears 1
arms 1
arrive 1
as 1
at 2
attempt 1
awakens 1
away 1
backward 1
bajarnum 1
based 1
be 2
beaujolais 1
been 1
begins 1
benign 1
beyond 1
big 4
bizarre 1
brick 1
but 1
by 3
called 1
charley 1
claude 1
colonized 1
companions 1
conception 1
crashes 1
cultists 1
devolved 1
dwindling 1
each 1
earth 3
earthly 1
egalitarian 1
enclave 1
encounter 1
faddists 1
first 1
flowery 1
forty 1
from 2
glystra 3
had 1
halt 1
have 1
headed 1
his 1
hundreds 1
importation 1
internecine 1
into 1
investigators 1
is 2
it 4
jewelbright 1
jubilith 2
kirstendale 1
large 1
level 1
light 1
lysidder 2
many 2
miles 1
misfits 1
monoline 1
morning 1
most 1
mountain 1
near 2
novel 1
number 1
odd 1
odds 1
of 15
off 1
on 2
one 2
only 2
or 1
other 1
petty 1
pick 1
planet 4
prey 1
principles 1
prior 1
protagonist 1
putting 1
quaint 1
quasiutopian 1
reach 1
rest 1
reveals 1
revert 1
right 1
road 1
ruled 1
sabotaged 1
safe 1
slave 1
slopewith 1
snobbish 1
social 1
societies 2
society 1
spot 1
starship 1
start 2
stop 1
surprisingly 1
survivors 2
team 1
technologically 1
territory 1
that 1
the 17
their 2
them 2
things 1
thousand 1
to 12
trade 1
tries 1
twist 1
tyrants 2
unfortunately 1
vast 1
version 1
view 1
village 1
warfare 1
winddriven 1
with 1
worst 1
years 1
yellow 1
