1473548
/m/0549_0
/m/0549_0
Bruce Chatwin
1987
{"/m/014dsx": "Travel", "/m/02xlf": "Fiction", "/m/05h83": "Non-fiction"}
a 5
aboriginal 4
aboriginals 1
about 1
across 1
actual 1
african 1
an 1
and 7
appreciation 1
are 4
argues 1
art 1
as 5
australia 2
australians 1
away 1
basic 1
became 1
big 1
book 2
branches 1
brute 1
builder 1
but 1
by 3
cat 1
central 1
character 1
chatwin 4
chronicles 1
city 1
civilizations 1
combines 1
concept 2
condition 1
country 1
culture 4
day 1
dedicated 1
defined 1
develops 1
does 2
dominant 1
dreamtime 1
early 1
earth 1
encounters 1
environment 1
environments 1
eventually 1
evidence 1
evolution 1
existence 1
exists 1
fad 1
first 1
foot 1
for 2
form 1
from 4
gained 1
generally 1
globe 1
half 2
harshest 1
hence 1
his 3
hunted 1
idea 1
ideas 1
if 1
in 4
indigenous 1
into 1
is 3
it 1
itself 1
key 1
keystone 1
land 5
language 1
life 1
literally 1
living 1
main 1
man 2
migratory 1
moves 1
moving 1
musings 1
nature 2
newage 1
nomad 1
northeast 1
not 3
notes 1
now 1
of 12
oldest 2
on 5
one 4
our 2
out 1
outback 1
path 1
people 1
posits 1
preconceived 1
predator 1
present 2
preserved 1
primordial 1
reaching 1
real 1
rock 1
savannah 1
second 1
see 1
shy 1
singing 1
sings 1
solely 1
song 2
songlines 2
southwest 1
species 1
spreading 1
started 1
that 4
the 32
their 1
then 1
there 1
thesis 1
they 2
this 1
through 1
to 2
trajectory 1
travels 1
tree 1
various 1
we 2
were 1
what 1
where 1
while 1
whom 1
with 2
world 1
writing 1
you 1
