8064760
/m/026q56x
/m/026q56x


{"/m/02n4kr": "Mystery"}
a 5
affair 1
after 2
afterwards 1
alcoholic 1
an 1
and 2
are 1
army 1
as 1
assertion 1
at 1
before 1
being 1
body 1
brief 1
by 2
career 1
causes 1
charlotte 1
connections 1
cottage 2
could 1
court 1
dartmoor 1
daughter 1
dead 2
deepens 1
denied 1
dick 1
doorstep 1
emperor 1
especially 1
evening 2
far 1
few 1
first 1
found 3
from 3
german 3
glance 1
goes 1
government 1
had 1
has 1
he 6
hears 1
her 1
him 1
his 4
hours 1
hurriedly 1
ii 1
in 1
insists 1
interviewed 1
investigate 1
is 5
it 1
james 1
junior 1
leave 1
london 1
married 2
minister 1
moorland 1
mother 1
mystery 1
natural 1
noises 1
not 1
of 2
officers 1
on 3
one 2
outside 1
owner 1
parliamentary 1
police 1
prejudice 1
priestley 1
rather 1
regular 1
returns 1
rife 1
road 1
rumours 1
she 1
shortly 1
shot 1
some 1
son 1
speculation 1
staying 1
stephens 1
strongly 1
such 1
summer 1
taking 1
that 3
the 5
there 1
they 1
to 2
train 1
two 1
was 3
waters 2
when 3
where 1
who 1
william 1
with 2
worried 1
