19749788
/m/04n30fg
/m/04n30fg
Greg Egan
1998-08
{"/m/06n90": "Science Fiction"}
a 4
abundant 1
and 1
as 3
begin 1
boy 1
change 1
circle 1
come 1
conflict 1
covenant 1
covenants 1
deep 1
dramatically 1
effects 1
eventually 1
experience 1
experiences 1
faith 1
follows 1
for 1
freelander 1
grows 1
has 1
he 3
his 4
into 1
joins 1
life 2
living 1
manhood 1
martin 1
microbes 1
most 1
oceans 1
of 5
on 1
one 1
religious 1
rooted 1
scholars 1
shapes 1
small 1
story 1
studies 1
studying 1
that 1
the 3
to 2
views 1
with 1
years 1
