4613260
/m/0ccpkk
/m/0ccpkk
Tony Duvert

10 1
27yearold 1
a 5
after 1
again 1
age 1
aloof 1
and 8
are 1
artist 1
asks 1
at 3
away 1
be 1
become 1
becomes 1
befriends 1
begins 1
behaviour 1
boy 1
boys 1
busy 1
but 1
by 3
car 1
close 1
commits 1
confronted 1
continues 1
country 1
cross 1
decides 1
demeaning 1
desires 1
distraught 1
dominate 1
each 1
eight 1
eventually 1
fastmoving 1
fatherless 1
find 1
finds 1
for 1
france 1
friends 1
he 3
her 1
him 2
himself 1
his 3
home 1
hopelessness 1
house 1
in 3
is 5
jonathan 8
living 1
look 1
meet 1
miserable 1
mother 3
night 1
no 1
of 1
off 1
other 2
others 1
out 1
overwhelmed 1
paris 2
real 1
rejected 1
relationship 1
returns 1
road 1
run 1
satisfaction 1
seeks 1
separated 1
serge 7
sets 1
sex 1
sexual 2
side 1
single 1
sixyearold 1
smitten 1
some 1
son 1
southern 1
spend 1
suicide 1
the 3
their 1
they 2
throwing 1
to 7
together 1
under 1
week 1
when 4
which 1
while 1
who 1
with 5
young 1
