7686901
/m/0268wz_
/m/0268wz_
Edmund Cooper

2032 1
a 3
absurd 1
adapts 1
advanced 1
after 2
alien 1
also 1
altair 3
amongst 1
ancestry 1
and 7
as 2
axle 1
ballbearing 1
bayani 3
bayanis 1
between 1
book 1
brutal 1
built 1
by 5
central 1
clash 1
come 1
complex 1
considers 1
contacted 1
crew 1
culture 2
demystifies 1
disappears 1
discovering 1
earth 2
educate 1
enabling 1
europe 1
factual 1
five 3
gains 1
gloria 1
he 5
his 1
humanoids 1
humans 2
improves 1
in 4
inhabited 1
inventions 1
is 3
its 1
lands 1
leading 1
leaving 1
lifestyle 1
lives 1
lo 1
make 1
manned 1
marlow 4
marlowe 1
mer 1
milky 1
most 1
mundi 1
mysteriously 1
naivety 1
natives 1
novel 1
of 6
often 1
on 2
only 1
origin 1
other 1
paul 3
planet 2
position 1
poul 1
power 1
primeval 1
primitive 1
pronounced 1
protagonist 1
psychiatrist 1
race 1
rational 1
religion 1
rescue 1
seeing 1
share 1
simplicity 1
society 2
soon 1
starship 2
starts 1
states 1
staying 1
such 1
superstitious 1
that 3
the 24
their 2
them 1
theme 1
thereby 1
to 4
touchdown 1
tribe 1
two 1
uncovering 1
united 1
uses 1
way 1
wheel 1
when 1
while 1
with 1
worlds 1
worldview 1
year 1
years 1
