15072681
/m/03hgm74
/m/03hgm74
Gustave Flaubert

a 5
again 1
alternates 1
and 4
attention 1
away 1
based 1
be 1
been 1
between 1
bleak 1
cannot 1
concerns 1
deal 1
death 1
discussing 1
education 1
elisa 1
emotions 1
english 1
episode 1
fall 1
falls 1
fifteen 1
for 1
girl 1
girls 1
given 1
has 1
he 5
her 1
him 1
his 4
in 6
influence 1
is 1
later 3
life 1
look 1
love 3
madman 1
many 1
maria 2
married 1
meeting 1
meets 1
memoirs 1
memories 2
more 1
moves 1
musings 1
named 1
narrator 2
near 1
ocean 1
of 4
on 3
one 2
outlook 1
past 2
present 2
recalls 1
remember 1
return 1
returning 1
sanity 1
schlsinger 1
seashore 1
second 1
section 1
sections 1
seems 1
sentimental 1
she 1
still 1
summer 1
takes 1
that 1
the 11
there 1
thought 1
to 5
two 1
unsuccessfully 1
when 1
who 1
whom 1
will 1
with 4
woman 1
work 1
would 1
writing 1
years 1
young 1
