19712795
/m/04n54z2
/m/04n54z2
Joseph Wambaugh
1985
{"/m/028v3": "Detective fiction"}
10000 1
184 1
500 1
a 28
accidentally 1
across 1
after 3
afterwards 1
agrees 1
all 1
amenities 1
an 3
and 14
angeles 3
another 1
antique 1
approximately 1
are 3
arrange 1
arranging 1
as 8
at 3
avoid 1
ballistics 1
bar 3
be 1
beavertail 1
became 2
become 1
before 1
being 1
between 1
bigelow 2
biker 2
bills 1
blackpool 16
body 2
both 3
brickman 2
bright 4
bureau 1
burned 1
but 1
by 3
california 1
call 1
can 1
canyon 3
car 1
case 6
check 1
chief 1
club 2
clues 1
conclude 1
condition 1
confiscate 1
confront 2
confrontation 1
confronts 1
connection 1
considered 1
cooperate 1
cop 2
cops 2
corporate 1
country 1
coy 2
crime 1
day 1
delerium 1
demands 1
department 1
desert 5
developed 1
died 1
discovers 1
domestic 1
draw 1
drinks 1
drunkard 1
during 1
either 1
election 1
eleven 1
eliminated 1
ends 1
engage 1
evidence 1
expense 1
expensespaid 1
exwife 1
failed 1
far 1
fate 1
federal 1
figure 1
final 1
finally 1
finding 1
for 8
forced 1
found 2
gay 1
golf 2
gone 1
had 1
hands 1
hangout 1
harlan 2
harry 4
has 1
have 2
he 4
head 1
heated 1
high 1
highly 1
him 1
himself 3
his 7
hollywood 1
home 1
homicide 3
hotel 1
house 1
houseboy 1
hypothetical 1
implicating 1
in 24
indio 1
inducement 1
industrialist 1
industries 1
information 1
informs 1
interested 1
intersect 1
intervenes 1
interview 2
into 1
invalid 1
investigate 1
investigated 1
investigation 7
invited 1
is 5
it 1
jack 5
job 1
jones 4
jurisdiction 1
key 1
kidnapping 1
killer 1
knows 1
lapd 5
lead 3
linking 1
livein 1
loose 1
los 3
lost 2
makes 1
mckinleys 1
memory 1
might 1
mineral 7
missing 1
money 1
more 1
near 1
new 2
ninetynine 1
nondescript 1
notorious 2
nursing 1
oa 4
object 1
of 19
off 1
office 1
officer 1
officers 3
on 1
one 1
or 1
other 2
otto 4
out 2
over 1
overhead 1
paco 4
palm 8
part 1
partner 1
pd 4
pedroza 3
penrod 1
persuades 1
phone 1
photo 1
picks 1
piece 1
pistols 1
place 1
police 2
posh 1
possibilities 1
possibility 1
possible 1
prank 1
prepares 1
president 1
pretext 1
promise 1
proof 1
provides 2
pulled 1
raised 1
rat 2
recollections 1
renewed 1
resources 1
retirement 1
returns 2
reveals 1
rounds 1
same 1
sandwiched 1
scene 1
search 1
secret 1
security 1
see 1
sergeants 1
sgt 1
shack 1
shatters 1
sidney 5
slowly 1
small 1
sold 1
solitaire 3
solution 1
solve 1
son 2
song 1
speed 1
springs 15
starts 1
stringer 2
strings 1
stumbles 1
suggested 1
sung 1
suspect 1
suspects 2
suspicions 1
sympathies 1
take 1
takes 2
team 1
tech 1
tells 1
tenuously 1
tests 1
than 2
that 9
the 44
their 1
them 1
then 1
they 2
thunderbird 1
ties 1
time 1
to 24
town 1
tries 1
try 1
tryst 1
two 1
tying 1
ukelele 3
unenthusiastically 1
unlikely 1
unravel 1
unsolved 1
up 1
used 1
using 1
vacation 2
victim 2
victor 2
violence 1
visit 2
was 3
washes 1
watson 9
weapon 1
when 1
where 3
which 3
while 2
who 4
why 1
will 1
with 6
within 1
without 1
witness 1
work 2
worse 1
would 1
