1914836
/m/065svj
/m/065svj
Jasper Fforde
2004-08-05
{"/m/06n90": "Science Fiction", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
147 1
188 1
a 14
absence 1
accompanying 1
actually 1
aforementioned 1
agents 1
aging 1
all 2
also 1
ambitions 1
an 4
and 18
apparently 1
appear 1
are 2
armageddon 1
as 8
assassin 1
at 3
avoid 2
back 3
banned 1
battenburg 1
be 3
become 1
been 1
believes 1
bellman 1
bismarck 1
bizarre 1
book 1
bookworld 2
both 1
business 1
but 2
by 3
cake 1
called 1
catches 1
cause 1
caused 1
ceo 1
chapters 1
character 3
childcare 1
chronoguard 1
cindy 1
clone 1
colleagues 1
contain 1
control 1
converting 1
corporation 4
creating 1
croquet 1
curious 2
danish 1
decided 1
denmark 1
despite 2
destruction 1
detective 1
dies 1
dodos 1
does 1
down 1
duped 1
earlier 1
either 1
elsinore 1
embarks 1
emma 1
emperor 2
end 1
english 1
escaped 1
even 1
everyone 1
evil 1
exchange 1
excursion 1
exempt 1
experience 1
fall 1
family 1
father 2
feels 1
fiction 2
final 2
finally 1
find 1
finding 1
finds 2
first 1
flee 1
for 6
force 1
forces 1
foretold 1
forgiven 1
forgiveness 1
form 1
formally 1
formby 1
friday 4
friend 1
from 3
functions 1
funny 1
gateway 1
george 1
get 2
gets 2
going 1
goliath 6
good 1
guests 1
had 1
hamilton 1
hamlet 2
has 11
hatred 1
have 1
he 2
head 1
headquarters 1
help 1
her 20
herself 1
him 2
hired 1
his 1
history 1
hit 1
house 1
however 1
humans 1
hunting 1
husband 2
illegal 1
impending 1
impossible 1
in 15
include 1
including 1
independent 1
influence 1
into 2
is 11
isle 1
it 5
its 1
itself 1
job 2
joined 1
jurisfiction 1
kaine 4
known 1
landen 3
last 1
laws 1
leadership 1
learns 1
lifespan 1
literary 2
literature 1
long 1
longs 1
longtime 1
m4 1
main 1
make 1
mallets 1
man 1
may 1
meantime 1
meanwhile 1
meets 1
merged 1
merry 2
met 1
mind 1
minister 1
minotaur 1
most 1
mother 2
motorway 1
mrs 1
must 1
mysterious 1
neardeath 1
nearly 1
new 2
next 1
no 1
nonexistence 1
not 2
now 2
nuclear 1
of 21
old 2
on 6
one 1
opens 1
order 1
original 1
other 1
otto 1
oust 1
out 4
outland 1
over 1
own 2
paradoxes 1
parliament 1
parts 1
pass 1
patiently 1
people 2
persuasive 1
place 1
plannedbutneverbuilt 1
plans 1
play 3
police 1
president 1
pressing 1
prime 1
problem 1
promise 1
properly 1
prophecy 4
provide 1
readmitted 1
real 1
reliable 1
religion 2
removed 1
rest 1
return 2
seemed 1
seemingly 1
service 1
several 2
shakespeare 1
she 9
sign 1
smuggling 1
some 5
son 1
sorts 2
speak 1
specifies 1
specops27 1
spike 1
stabilize 1
stages 1
starters 1
states 1
station 1
staying 1
stick 1
still 4
stir 1
stoker 1
stop 1
story 1
succeeds 1
suddenly 1
superhoop 1
swindon 2
taken 1
takes 2
tasks 1
tea 1
teaching 1
tearful 1
tell 1
ten 1
that 11
the 37
their 1
them 3
then 1
there 1
they 1
things 1
think 1
this 2
though 1
through 1
thursday 12
thwart 1
tiggywinkle 1
time 3
timetravelling 1
tiring 1
titular 1
to 28
top 2
tracking 1
transgressions 1
truckloads 1
turns 1
two 1
underworld 1
uneradicate 1
uneradication 1
up 3
used 1
various 1
visit 1
visited 1
von 1
wait 1
wales 1
warns 1
was 1
wednesday 1
what 1
when 2
which 5
while 2
who 6
whose 1
wields 1
wife 1
will 3
william 1
win 1
windowmaker 1
windsor 1
with 5
without 3
wives 2
words 1
world 5
wrong 1
years 1
yorrick 2
zhark 2
