28349899
/m/0crgfzg
/m/0crgfzg
Fiona McIntosh
2009
{"/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 5
ability 1
adventures 1
amazing 1
an 1
and 7
angry 1
appear 1
become 1
bitter 1
boy 2
brother 1
calls 1
can 1
circus 2
circusand 1
creatures 1
crown 1
crying 1
day 1
discovers 1
doing 1
drestonia 1
dwarf 1
eavesdrop 1
escapes 1
fantasy 1
fellow 1
flee 1
follows 1
for 1
forced 1
forces 1
friends 1
from 2
great 1
griff 6
he 4
hears 1
help 3
her 1
him 1
his 4
human 1
in 5
is 9
it 2
janko 1
king 1
knows 1
lute 3
magical 2
master 1
meanwhile 1
mind 1
mysterious 2
next 1
novel 1
of 3
on 1
one 1
other 1
out 1
overthrow 1
people 1
performer 1
peril 1
person 1
pirate 1
prince 2
realises 1
save 1
scheming 1
seek 1
show 1
story 1
tess 1
that 2
the 13
third 1
thirteenyearold 1
thoughts 1
to 5
told 1
uncle 1
up 1
voice 3
what 1
when 1
whisperer 3
who 1
whoever 1
with 2
works 1
wrong 1
young 1
