470797
/m/02dfz3
/m/02dfz3
Eugène Ionesco

a 7
after 1
also 1
always 1
and 2
another 1
are 2
as 2
at 1
back 1
bald 1
banter 1
before 2
beginning 2
blackout 1
by 1
chief 3
closes 1
come 1
complete 1
conversation 1
converses 1
couple 2
couples 1
curtain 1
devolves 1
effect 1
ends 1
engage 1
exit 1
families 1
fire 3
for 2
from 3
hair 1
has 1
have 1
he 2
her 2
here 1
husband 1
if 1
in 4
into 1
invited 1
is 1
it 3
joined 1
just 1
later 1
leave 1
lights 1
lines 1
local 1
london 1
lover 1
maid 1
martin 1
martins 2
mary 2
meaningless 1
mentions 1
met 1
mrs 2
no 1
nonsensical 1
nonsequiturs 1
normal 1
not 1
occurs 1
of 2
on 2
one 1
others 1
over 2
passing 1
play 2
poems 1
point 1
reciting 1
relating 1
replies 1
resemblance 1
right 1
same 1
scene 1
series 1
she 2
shouting 1
smith 1
smiths 3
soprano 1
starts 1
stories 1
stranger 1
style 1
telling 1
that 2
the 20
they 1
to 2
traditional 1
turns 1
two 2
unison 1
unsettling 1
very 1
visit 1
way 1
wears 1
were 1
when 1
which 1
while 1
who 2
with 4
