7074872
/m/0h2zkg
/m/0h2zkg
Lynn Flewelling
2006-05-02
a 1
alright 1
and 6
as 3
back 1
battle 1
be 1
become 1
beloved 1
brother 1
but 1
by 2
can 1
cause 1
couldbefuture 1
cousin 1
day 1
dead 1
delay 1
do 1
does 1
doesnt 1
ever 1
every 1
everything 1
faces 1
feel 1
fight 2
find 1
flock 1
for 1
had 1
have 1
her 3
himself 1
however 1
in 1
introducing 1
is 3
itching 1
ki 1
korin 1
line 1
love 1
loved 1
loves 1
monarchs 1
more 6
much 2
not 2
of 2
on 1
once 1
only 2
opposing 1
out 1
own 1
people 2
physical 1
popular 1
power 1
problems 1
promised 1
putting 1
queen 1
rest 1
restless 1
return 1
she 4
skala 2
soldiers 1
tamr 4
than 1
that 3
the 6
they 2
this 1
throne 1
to 3
tries 1
two 1
until 1
vengeance 1
very 1
want 1
while 1
whom 1
will 1
with 3
