3060391
/m/08nv8j
/m/08nv8j


{"/m/06n90": "Science Fiction"}
4 1
a 15
able 1
academy 6
across 2
afraid 1
ago 2
agreement 1
all 2
alone 1
along 1
already 1
anakin 11
and 18
animal 1
are 3
as 1
asks 1
at 3
avoided 1
awakes 1
back 3
be 3
become 1
been 1
beeps 1
before 1
begin 2
begins 1
behind 2
big 1
blame 1
book 1
both 1
break 1
brewing 1
brought 1
bubbly 1
but 6
by 2
cannot 1
children 6
chosen 1
claims 1
come 1
comes 1
completely 1
confides 1
confirmation 1
continues 1
cool 1
coruscant 1
could 1
dangerous 1
destiny 2
determined 1
discover 1
do 1
doubtful 1
down 1
droid 1
eleven 1
enough 1
enter 1
entering 1
expel 1
falling 1
falls 1
family 1
fearful 1
feels 2
final 1
find 1
first 1
follow 1
for 4
force 1
free 2
freed 1
friends 1
front 1
fulfill 1
furry 1
girl 1
globe 2
go 2
going 1
golden 1
got 1
gotten 1
grew 1
grows 1
had 3
has 1
have 2
he 5
head 1
help 1
her 1
himself 1
his 5
hitch 1
home 1
homeplanet 1
however 1
ikrit 3
in 7
informed 1
informs 1
installments 1
instant 1
into 2
is 9
it 5
jedi 9
journey 1
just 2
keeps 1
leaves 1
led 1
lie 1
like 2
listens 1
long 1
looking 1
lord 1
lost 1
luke 4
massassi 1
master 5
maybe 1
means 1
messeni 1
midnight 1
mind 1
monthly 1
much 2
named 1
needs 1
next 1
nine 1
not 2
notices 1
of 7
old 3
on 5
ones 1
only 1
out 1
outing 1
pain 2
people 1
pleased 1
poor 1
predicted 1
punishment 1
puzzles 1
quickly 1
quiet 1
r2 2
r2d2 1
raft 3
reach 2
ready 1
republic 1
resides 1
right 1
river 1
room 2
sadly 1
sand 1
saved 1
saves 1
saying 1
see 1
series 2
she 1
shore 1
showing 1
shy 1
sith 1
skeptical 1
skywalker 2
sleeping 1
sneak 1
so 3
solo 2
steps 1
storm 2
storms 1
stronger 1
students 1
sure 1
swirling 1
tahiri 11
take 1
takes 1
talkative 1
task 1
tell 1
tells 1
temple 1
terrified 1
that 14
the 36
their 4
them 9
themselves 1
there 4
these 1
they 15
this 1
through 1
time 1
to 17
together 1
too 1
training 1
trapped 2
tried 2
two 4
unable 1
unbearable 1
uncle 1
until 1
use 1
veila 1
very 1
vision 4
visions 1
waiting 1
was 5
water 2
way 1
well 1
were 4
what 1
when 3
where 1
which 1
whirrs 1
who 1
with 4
within 2
would 2
yavin 2
year 1
years 2
yet 2
young 1
