189652
/m/019ypf
/m/019ypf
Anne McCaffrey
1990
10 1
14 1
17 1
5 1
a 31
accident 1
aceputnam 1
adherence 1
afra 5
after 3
age 1
agoraphobia 1
alien 1
aliens 1
all 1
along 1
already 1
altair 5
altarian 1
an 3
and 27
any 1
appeal 1
are 2
as 6
assigned 1
assist 1
at 3
attack 2
attacked 1
attacks 1
away 1
bad 1
badly 1
bardy 1
based 1
be 2
beard 1
became 3
becomes 1
been 1
before 1
being 1
believe 1
betelguese 1
black 2
blonde 1
blue 1
book 1
born 1
brother 1
brown 1
buried 1
but 1
by 4
callisto 5
came 2
camp 2
capella 4
care 1
central 1
child 3
children 2
class 1
close 2
collapse 1
colonists 1
command 1
community 1
compassionate 1
confidant 1
considering 1
contact 1
contacted 1
could 2
course 2
crash 1
damia 1
david 1
day 1
days 1
deal 1
dealing 1
deft 1
deneb 3
descendant 1
described 1
description 5
destroyed 1
didnt 1
died 1
different 1
disinclination 1
distant 1
due 1
during 1
ear 1
earlier 1
earth 4
edition 1
efficiently 1
eighteen 2
elizara 2
elusive 1
empath 1
empathic 1
empathy 1
enough 1
every 1
exercise 1
experience 1
extraordinary 1
extremely 2
eyes 3
falls 1
families 1
family 2
far 1
feat 1
featured 1
female 1
figure 2
finnan 1
first 3
flight 1
for 8
forces 1
form 1
freak 1
friend 1
from 4
ftt 2
full 1
gathered 1
generally 1
generator 1
getting 1
gifted 1
given 1
good 1
goswina 1
greatgranddaughter 1
green 1
grew 1
grey 1
guzman 1
gwynraven 1
had 3
hair 4
hardcover 1
harm 1
has 2
he 6
healing 1
hear 1
heard 1
help 2
her 13
high 1
him 2
his 1
hopper 1
hostile 1
how 1
however 1
hurtling 1
in 14
informed 2
injured 1
instilled 1
interstellar 1
into 2
is 12
isthia 1
it 1
its 2
iv 2
jeff 5
junior 1
kind 2
known 1
lady 1
landslide 2
large 1
later 3
legitimate 1
level 10
life 5
liking 1
loneliness 1
long 1
loud 1
love 1
lusena 3
lyon 1
lyons 1
maintenance 1
make 1
management 1
manifestation 1
manners 1
many 1
mccaffrey 1
medicob 1
memory 1
mentally 1
met 1
metamorphic 1
methody 1
mind 1
mining 2
missile 1
mistress 1
moment 1
money 1
more 1
most 1
mother 1
moustache 1
mudslide 1
name 1
namesake 1
neurosis 1
never 1
new 1
next 1
nine 1
no 2
not 1
of 32
old 1
older 1
on 9
one 2
only 1
orphan 1
other 2
out 1
own 1
page 1
pegasus 2
person 1
personnel 1
peter 3
petite 1
pg 1
physical 6
piercing 1
pigmentation 1
planet 3
population 1
power 1
powerful 1
pregnancy 1
prevents 1
previously 1
prime 17
primes 2
procyon 1
promised 1
proved 1
putdown 1
quickly 1
quite 1
rarest 1
raven 2
ravenlyon 1
ready 1
realized 1
reassuring 1
receptive 1
recommended 1
red 1
refused 1
reidinger 6
reintroduced 1
remote 1
resides 1
resume 1
rowan 18
rules 1
runs 1
same 1
screamed 1
second 1
section 1
sedentary 1
send 1
sensible 1
sent 1
series 1
seven 1
she 19
short 1
siglen 3
silverwhite 1
six 1
skilled 1
skin 1
slab 1
slightly 2
sludge 1
so 2
soft 1
soon 1
space 1
spent 1
staff 1
star 1
start 1
stated 1
stationmaster 1
story 2
strength 1
sure 1
surely 1
survivor 1
system 1
t 1
t1 6
t2 1
t3 1
t4 2
t5 1
t8 1
talent 13
talented 1
talents 4
tallslender 1
tapped 1
teacher 1
team 1
telekinetically 1
telekinetictelepath 5
telekinetictelepaths 1
telepath 2
telepathically 2
teleports 1
tells 1
tested 1
than 1
that 6
the 61
then 2
therapist 2
they 1
though 1
three 1
time 2
to 19
toddler 1
together 1
took 2
towards 2
tower 3
trained 1
transportation 1
trapped 1
traveled 1
trimmed 1
trying 1
two 1
under 3
undiscovered 1
unknown 1
unlikeable 1
untrained 1
unusual 1
up 1
vehicle 1
verge 1
verified 1
very 3
voice 1
ward 1
was 16
wasnt 1
well 1
when 8
where 1
which 1
who 3
wild 1
wiped 1
with 5
words 1
work 2
yellow 1
young 4
zara 1
